Year,value,Village
1985,54.0615899,AbrahaAtsbaha
1986,160.34224781045748,AbrahaAtsbaha
1987,12.610883594126989,AbrahaAtsbaha
1988,261.246054244444,AbrahaAtsbaha
1989,124.54414,AbrahaAtsbaha
1990,82.787941,AbrahaAtsbaha
1991,174.3660198,AbrahaAtsbaha
1992,52.265997,AbrahaAtsbaha
1993,100.77918,AbrahaAtsbaha
1994,321.280681833333,AbrahaAtsbaha
1995,250.3895257990289,AbrahaAtsbaha
1996,174.031542,AbrahaAtsbaha
1997,184.27745699999997,AbrahaAtsbaha
1998,142.0068678,AbrahaAtsbaha
1999,204.25555989999998,AbrahaAtsbaha
2000,101.398967,AbrahaAtsbaha
2001,92.761705,AbrahaAtsbaha
2002,25.759313,AbrahaAtsbaha
2003,33.9181839,AbrahaAtsbaha
2004,110.4688487,AbrahaAtsbaha
2005,90.96213499999999,AbrahaAtsbaha
2006,73.8488076,AbrahaAtsbaha
2007,244.0628697,AbrahaAtsbaha
2008,49.221561,AbrahaAtsbaha
2009,104.44968909999999,AbrahaAtsbaha
2010,213.6900662,AbrahaAtsbaha
2011,129.7059803,AbrahaAtsbaha
2012,134.6948841,AbrahaAtsbaha
2013,193.04942290000002,AbrahaAtsbaha
2014,106.27050399999999,AbrahaAtsbaha
2015,102.83718999999999,AbrahaAtsbaha
2016,188.95334839999998,AbrahaAtsbaha
2017,97.09548130000002,AbrahaAtsbaha
2018,113.14870199999999,AbrahaAtsbaha
2019,50.421925,AbrahaAtsbaha
1983,357.131291805555,Abrekuy
1984,246.88281899999998,Abrekuy
1985,374.888937,Abrekuy
1986,233.02356555555548,Abrekuy
1987,180.35007149999998,Abrekuy
1988,389.671007194444,Abrekuy
1989,309.987418916667,Abrekuy
1990,304.2944514444444,Abrekuy
1991,350.59144299999997,Abrekuy
1992,178.590842,Abrekuy
1993,442.228877,Abrekuy
1994,498.943416138889,Abrekuy
1995,366.6940598055556,Abrekuy
1996,462.012991,Abrekuy
1997,198.56181399999997,Abrekuy
1998,384.37070800000004,Abrekuy
1999,428.942717,Abrekuy
2000,223.8989978,Abrekuy
2001,208.3551,Abrekuy
2002,169.9092761,Abrekuy
2003,236.819822,Abrekuy
2004,214.54618700000003,Abrekuy
2005,200.405196,Abrekuy
2006,371.189753,Abrekuy
2007,298.98517599999997,Abrekuy
2008,308.418593,Abrekuy
2009,275.638397,Abrekuy
2010,388.152869,Abrekuy
2011,146.66177699999997,Abrekuy
2012,389.77624799999995,Abrekuy
2013,413.167078,Abrekuy
2014,290.240706,Abrekuy
2015,92.5631748,Abrekuy
2016,432.85191,Abrekuy
2017,462.114114,Abrekuy
2018,286.86179400000003,Abrekuy
2019,246.062893,Abrekuy
1983,4.40448759345005,AdekeAla
1984,27.27416616111111,AdekeAla
1985,16.289349658333332,AdekeAla
1986,435.5028537624184,AdekeAla
1987,35.85527866555552,AdekeAla
1988,40.937536,AdekeAla
1989,67.430184,AdekeAla
1990,10.715692,AdekeAla
1991,104.3883275,AdekeAla
1992,7.772947,AdekeAla
1993,36.33585382777778,AdekeAla
1994,98.7229275,AdekeAla
1995,32.438673110831,AdekeAla
1996,75.4416693,AdekeAla
1997,92.5621753,AdekeAla
1998,112.6018974,AdekeAla
1999,119.20745500000001,AdekeAla
2000,57.38766100000001,AdekeAla
2001,29.819404,AdekeAla
2002,13.000931999999999,AdekeAla
2003,62.303487000000004,AdekeAla
2004,28.148414100000004,AdekeAla
2005,36.297635,AdekeAla
2006,86.5865092,AdekeAla
2007,70.464625,AdekeAla
2008,51.3418971,AdekeAla
2009,42.300165,AdekeAla
2010,74.9666,AdekeAla
2011,37.484083,AdekeAla
2012,32.012673,AdekeAla
2013,36.049149,AdekeAla
2014,84.4954271,AdekeAla
2015,20.610185,AdekeAla
2016,84.0313117,AdekeAla
2017,37.1593436,AdekeAla
2018,42.692951,AdekeAla
2019,113.211871,AdekeAla
1983,29.88262050536877,Adekiney
1984,15.275491111111108,Adekiney
1985,89.6170425,Adekiney
1986,76.63575212679734,Adekiney
1987,40.491914658730174,Adekiney
1988,105.66261,Adekiney
1989,21.792385,Adekiney
1990,19.949816000000002,Adekiney
1991,15.184592000000002,Adekiney
1992,42.926281,Adekiney
1993,43.163478999999995,Adekiney
1994,154.5973421388889,Adekiney
1995,117.38328250417831,Adekiney
1996,66.008069,Adekiney
1997,64.626952,Adekiney
1998,82.309426,Adekiney
1999,221.25006109999998,Adekiney
2000,72.20573200000001,Adekiney
2001,17.9862326,Adekiney
2002,4.452228,Adekiney
2003,31.853036,Adekiney
2004,26.682717,Adekiney
2005,27.896484,Adekiney
