gid,year,mean,rank,District,Zone,Region,Country
6,1989,2.22036287910137,9,Weremo Wajetuna Mida, North Shewa (K3),Amhara, Ethiopia
6,2003,2.254639851123288,10,Weremo Wajetuna Mida, North Shewa (K3),Amhara, Ethiopia
7,1984,1.4028277576092896,1,Bugna, North Wollo,Amhara, Ethiopia
7,2015,1.6891796989178076,2,Bugna, North Wollo,Amhara, Ethiopia
7,2009,1.7090443495049863,3,Bugna, North Wollo,Amhara, Ethiopia
7,1987,1.7652701206931505,4,Bugna, North Wollo,Amhara, Ethiopia
7,1983,1.8695813264191783,5,Bugna, North Wollo,Amhara, Ethiopia
7,1985,1.8982357988219185,6,Bugna, North Wollo,Amhara, Ethiopia
7,1982,1.9687872371780823,7,Bugna, North Wollo,Amhara, Ethiopia
7,1990,1.9869483808602744,8,Bugna, North Wollo,Amhara, Ethiopia
7,2004,2.0792960052743727,9,Bugna, North Wollo,Amhara, Ethiopia
7,1981,2.1672120748,10,Bugna, North Wollo,Amhara, Ethiopia
8,2009,2.9006142343369867,1,Fogera, South Gonder,Amhara, Ethiopia
8,1984,2.9302382336557367,2,Fogera, South Gonder,Amhara, Ethiopia
8,2004,3.0275047850000005,3,Fogera, South Gonder,Amhara, Ethiopia
8,1990,3.0391223801917815,4,Fogera, South Gonder,Amhara, Ethiopia
8,1987,3.0622926930136973,5,Fogera, South Gonder,Amhara, Ethiopia
8,1982,3.1243445008328763,6,Fogera, South Gonder,Amhara, Ethiopia
8,2002,3.1903238506931517,7,Fogera, South Gonder,Amhara, Ethiopia
8,1995,3.2112617387945197,8,Fogera, South Gonder,Amhara, Ethiopia
8,2015,3.2835338451972618,9,Fogera, South Gonder,Amhara, Ethiopia
8,1985,3.28770686358904,10,Fogera, South Gonder,Amhara, Ethiopia
9,1987,2.189860938391781,1,Kemekem, South Gonder,Amhara, Ethiopia
9,1984,2.2019841552941237,2,Kemekem, South Gonder,Amhara, Ethiopia
9,2009,2.256984052112329,3,Kemekem, South Gonder,Amhara, Ethiopia
9,1990,2.28668274469863,4,Kemekem, South Gonder,Amhara, Ethiopia
9,1982,2.2971371222986297,5,Kemekem, South Gonder,Amhara, Ethiopia
9,2004,2.3754698866612016,6,Kemekem, South Gonder,Amhara, Ethiopia
9,1983,2.3946473361726035,7,Kemekem, South Gonder,Amhara, Ethiopia
9,1995,2.4315621595232884,8,Kemekem, South Gonder,Amhara, Ethiopia
9,2002,2.4546480732876725,9,Kemekem, South Gonder,Amhara, Ethiopia
9,2015,2.472752933520548,10,Kemekem, South Gonder,Amhara, Ethiopia
10,1984,1.8325940224863384,1,Lay Gayint, South Gonder,Amhara, Ethiopia
10,2009,1.9827670512465767,2,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1987,2.0902380414602746,3,Lay Gayint, South Gonder,Amhara, Ethiopia
10,2015,2.1747782938000007,4,Lay Gayint, South Gonder,Amhara, Ethiopia
10,2004,2.2710656579016404,5,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1990,2.3302770065698617,6,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1983,2.377387955679452,7,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1985,2.417454221369863,8,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1982,2.459539637142465,9,Lay Gayint, South Gonder,Amhara, Ethiopia
10,2002,2.4636372734794523,10,Lay Gayint, South Gonder,Amhara, Ethiopia
11,1984,2.024847731557379,1,Simada, South Gonder,Amhara, Ethiopia
11,2015,2.171509921756165,2,Simada, South Gonder,Amhara, Ethiopia
11,2009,2.241687070312328,3,Simada, South Gonder,Amhara, Ethiopia
11,2004,2.253918197032786,4,Simada, South Gonder,Amhara, Ethiopia
