gid,District,Zone,Region,Country
102,Addi Arkay, North Gonder, Amhara, Ethiopia
103,Alefa, North Gonder, Amhara, Ethiopia
104,Belesa, North Gonder, Amhara, Ethiopia
105,Beyeda, North Gonder, Amhara, Ethiopia
106,Chilga, North Gonder, Amhara, Ethiopia
107,Dabat, North Gonder, Amhara, Ethiopia
108,Debarq, North Gonder, Amhara, Ethiopia
109,Dembia, North Gonder, Amhara, Ethiopia
110,Gonder, North Gonder, Amhara, Ethiopia
111,Gonder Zuria, North Gonder, Amhara, Ethiopia
112,Janamora, North Gonder, Amhara, Ethiopia
113,Lay Armacheho, North Gonder, Amhara, Ethiopia
114,Metema, North Gonder, Amhara, Ethiopia
115,Quara, North Gonder, Amhara, Ethiopia
116,Sanja, North Gonder, Amhara, Ethiopia
117,Wegera, North Gonder, Amhara, Ethiopia
118,Angolela Tera, North Shewa (K3), Amhara, Ethiopia
119,Ankober, North Shewa (K3), Amhara, Ethiopia
120,Antsokia Gemza, North Shewa (K3), Amhara, Ethiopia
121,Asagirt, North Shewa (K3), Amhara, Ethiopia
122,Berehet, North Shewa (K3), Amhara, Ethiopia
123,Debre Berhan, North Shewa (K3), Amhara, Ethiopia
124,Debre Berhan Zuria, North Shewa (K3), Amhara, Ethiopia
125,Efratana Gidim, North Shewa (K3), Amhara, Ethiopia
126,Gera Midirna Keya Gabriel, North Shewa (K3), Amhara, Ethiopia
127,Gishe Rabel, North Shewa (K3), Amhara, Ethiopia
128,Hagere Mariamna Kesem, North Shewa (K3), Amhara, Ethiopia
129,Kewet, North Shewa (K3), Amhara, Ethiopia
130,Lay Betna Tach Bet, North Shewa (K3), Amhara, Ethiopia
131,Mama Midirna Lalo, North Shewa (K3), Amhara, Ethiopia
132,Bare, Unknown, Somali, Ethiopia
133,Chereti, Unknown, Somali, Ethiopia
134,Debeweyin, Unknown, Somali, Ethiopia
135,Denan, Unknown, Somali, Ethiopia
136,Dihun, Unknown, Somali, Ethiopia
137,Dolobay, Unknown, Somali, Ethiopia
138,East Imi, Unknown, Somali, Ethiopia
139,Elkere, Unknown, Somali, Ethiopia
140,Dawunt Delanta, North Wollo, Amhara, Ethiopia
141,Gidan, North Wollo, Amhara, Ethiopia
142,Guba Lafto, North Wollo, Amhara, Ethiopia
143,Kobo, North Wollo, Amhara, Ethiopia
144,Meket, North Wollo, Amhara, Ethiopia
145,Tehuledere, North Wollo, Amhara, Ethiopia
146,Wadla, North Wollo, Amhara, Ethiopia
147,Weldiya, North Wollo, Amhara, Ethiopia
148,Artuma Fursina, Oromia Zone, Amhara, Ethiopia
149,Bati, Oromia Zone, Amhara, Ethiopia
150,Dawa Chefa, Oromia Zone, Amhara, Ethiopia
151,Jile Timuga, Oromia Zone, Amhara, Ethiopia
152,Debre Tabor, South Gonder, Amhara, Ethiopia
153,Dera, South Gonder, Amhara, Ethiopia
154,Ebenat, South Gonder, Amhara, Ethiopia
155,Esite, South Gonder, Amhara, Ethiopia
156,Farta, South Gonder, Amhara, Ethiopia
157,Tehuledere, South Wollo, Amhara, Ethiopia
158,Tenta, South Wollo, Amhara, Ethiopia
159,Wegde, South Wollo, Amhara, Ethiopia
160,Were Ilu, South Wollo, Amhara, Ethiopia
161,Werebabu, South Wollo, Amhara, Ethiopia
162,Dehana, Wag Hemira, Amhara, Ethiopia
163,Sekota, Wag Hemira, Amhara, Ethiopia
164,Zikuala, Wag Hemira, Amhara, Ethiopia
