gid,District,Zone,Region,Country
486,Badawacho, Hadiya," Southern Nations, Nationalities and Peoples", Ethiopia
487,Limu, Hadiya," Southern Nations, Nationalities and Peoples", Ethiopia
488,Misha, Hadiya," Southern Nations, Nationalities and Peoples", Ethiopia
489,Soro, Hadiya," Southern Nations, Nationalities and Peoples", Ethiopia
490,Bita, Kaffa," Southern Nations, Nationalities and Peoples", Ethiopia
491,Chena, Kaffa," Southern Nations, Nationalities and Peoples", Ethiopia
492,Cheta, Kaffa," Southern Nations, Nationalities and Peoples", Ethiopia
493,Decha, Kaffa," Southern Nations, Nationalities and Peoples", Ethiopia
494,Gelila, South Omo," Southern Nations, Nationalities and Peoples", Ethiopia
495,Hamer, South Omo," Southern Nations, Nationalities and Peoples", Ethiopia
496,Kuraz, South Omo," Southern Nations, Nationalities and Peoples", Ethiopia
497,Selamgo, South Omo," Southern Nations, Nationalities and Peoples", Ethiopia
498,Boloso Sore, Wolayita," Southern Nations, Nationalities and Peoples", Ethiopia
499,Damot Gale, Wolayita," Southern Nations, Nationalities and Peoples", Ethiopia
500,Damot Weyde, Wolayita," Southern Nations, Nationalities and Peoples", Ethiopia
501,Humbo, Wolayita," Southern Nations, Nationalities and Peoples", Ethiopia
502,Kindo Koysha, Wolayita," Southern Nations, Nationalities and Peoples", Ethiopia
503,Ofa, Wolayita," Southern Nations, Nationalities and Peoples", Ethiopia
504,Sodo Zuria, Wolayita," Southern Nations, Nationalities and Peoples", Ethiopia
505,Yem, Yem Special Woreda," Southern Nations, Nationalities and Peoples", Ethiopia
506,Adwa, Central Tigray, Tigray, Ethiopia
507,Ahferom, Central Tigray, Tigray, Ethiopia
508,Gesha Daka, Kaffa," Southern Nations, Nationalities and Peoples", Ethiopia
509,Gewata, Kaffa," Southern Nations, Nationalities and Peoples", Ethiopia
510,Gimbo, Kaffa," Southern Nations, Nationalities and Peoples", Ethiopia
511,Menjiwo, Kaffa," Southern Nations, Nationalities and Peoples", Ethiopia
512,Sylem, Kaffa," Southern Nations, Nationalities and Peoples", Ethiopia
513,Telo, Kaffa," Southern Nations, Nationalities and Peoples", Ethiopia
514,Alaba, Kembata Alaba Tembaro," Southern Nations, Nationalities and Peoples", Ethiopia
515,Angacha, Kembata Alaba Tembaro," Southern Nations, Nationalities and Peoples", Ethiopia
516,Kacha Bira, Kembata Alaba Tembaro," Southern Nations, Nationalities and Peoples", Ethiopia
517,Kedida Gamela, Kembata Alaba Tembaro," Southern Nations, Nationalities and Peoples", Ethiopia
518,Omo Sheleko, Kembata Alaba Tembaro," Southern Nations, Nationalities and Peoples", Ethiopia
519,Konso, Konso Special Woreda," Southern Nations, Nationalities and Peoples", Ethiopia
520,Ela (Konta), Konta Special Woreda," Southern Nations, Nationalities and Peoples", Ethiopia
521,Anderacha, Shaka," Southern Nations, Nationalities and Peoples", Ethiopia
522,Masha, Shaka," Southern Nations, Nationalities and Peoples", Ethiopia
523,Yeki, Shaka," Southern Nations, Nationalities and Peoples", Ethiopia
524,Aleta Wendo, Sidama," Southern Nations, Nationalities and Peoples", Ethiopia
525,Arbe Gona, Sidama," Southern Nations, Nationalities and Peoples", Ethiopia
526,Aroresa, Sidama," Southern Nations, Nationalities and Peoples", Ethiopia
527,Awasa, Sidama," Southern Nations, Nationalities and Peoples", Ethiopia
528,Bensa, Sidama," Southern Nations, Nationalities and Peoples", Ethiopia
529,Dale, Sidama," Southern Nations, Nationalities and Peoples", Ethiopia
530,Dara, Sidama," Southern Nations, Nationalities and Peoples", Ethiopia
531,Hulla, Sidama," Southern Nations, Nationalities and Peoples", Ethiopia
532,Shebedino, Sidama," Southern Nations, Nationalities and Peoples", Ethiopia
533,Bako Gazer, South Omo," Southern Nations, Nationalities and Peoples", Ethiopia
534,Bena, South Omo," Southern Nations, Nationalities and Peoples", Ethiopia
535,Degua Temben, Central Tigray, Tigray, Ethiopia
536,Kola Temben, Central Tigray, Tigray, Ethiopia
537,Laelay Maychew, Central Tigray, Tigray, Ethiopia
538,Mereb Lehe, Central Tigray, Tigray, Ethiopia
539,Naeder Adet, Central Tigray, Tigray, Ethiopia
540,Tahtay Maychew, Central Tigray, Tigray, Ethiopia
541,Tanku Abergele, Central Tigray, Tigray, Ethiopia
542,Werie Lehe, Central Tigray, Tigray, Ethiopia
543,Atsbi Wenberta, Easetern Tigray, Tigray, Ethiopia
544,Erob, Easetern Tigray, Tigray, Ethiopia
545,Ganta Afeshum, Easetern Tigray, Tigray, Ethiopia
546,Gulomahda, Easetern Tigray, Tigray, Ethiopia
547,Hawzen, Easetern Tigray, Tigray, Ethiopia
548,Saesi Tsaedaemba, Easetern Tigray, Tigray, Ethiopia
549,Wukro, Easetern Tigray, Tigray, Ethiopia
550,Mekele, Mekele, Tigray, Ethiopia
551,Alamata, Southern Tigray, Tigray, Ethiopia
552,Ambalaje, Southern Tigray, Tigray, Ethiopia
553,Endamehoni, Southern Tigray, Tigray, Ethiopia
554,Enderta, Southern Tigray, Tigray, Ethiopia
555,Hintalo Wajerat, Southern Tigray, Tigray, Ethiopia
556,Ofla, Southern Tigray, Tigray, Ethiopia
557,Raya Azebo, Southern Tigray, Tigray, Ethiopia
558,Samre, Southern Tigray, Tigray, Ethiopia
559,Asegede Tsimbela, Western Tigray, Tigray, Ethiopia
560,Kafta Humera, Western Tigray, Tigray, Ethiopia
561,Laelay Adiyabo, Western Tigray, Tigray, Ethiopia
562,Medebay Zana, Western Tigray, Tigray, Ethiopia
563,Tahtay Adiyabo, Western Tigray, Tigray, Ethiopia
564,Tahtay Koraro, Western Tigray, Tigray, Ethiopia
565,Tsegede, Western Tigray, Tigray, Ethiopia
566,Tsilemti, Western Tigray, Tigray, Ethiopia
567,Welkait, Western Tigray, Tigray, Ethiopia
