Year,value,Village
1994,260.0,AbrahaAtsbaha
1995,173.0,AbrahaAtsbaha
1996,144.0,AbrahaAtsbaha
1997,81.0,AbrahaAtsbaha
1998,233.0,AbrahaAtsbaha
1999,187.0,AbrahaAtsbaha
2000,121.0,AbrahaAtsbaha
2001,116.0,AbrahaAtsbaha
2002,122.0,AbrahaAtsbaha
2003,106.0,AbrahaAtsbaha
2004,64.0,AbrahaAtsbaha
2005,165.0,AbrahaAtsbaha
2006,201.0,AbrahaAtsbaha
2007,119.0,AbrahaAtsbaha
2008,62.0,AbrahaAtsbaha
2009,115.0,AbrahaAtsbaha
2010,186.0,AbrahaAtsbaha
2011,104.0,AbrahaAtsbaha
2012,95.0,AbrahaAtsbaha
2013,85.0,AbrahaAtsbaha
2014,137.0,AbrahaAtsbaha
2015,154.0,AbrahaAtsbaha
2016,110.0,AbrahaAtsbaha
2017,137.0,AbrahaAtsbaha
2018,182.0,AbrahaAtsbaha
2019,142.0,AbrahaAtsbaha
2020,133.25641025641028,AbrahaAtsbaha
1981,131.0,Abrekuy
1982,164.0,Abrekuy
1983,121.0,Abrekuy
1984,71.0,Abrekuy
1985,77.0,Abrekuy
1986,108.0,Abrekuy
1987,58.0,Abrekuy
1988,122.0,Abrekuy
1989,80.0,Abrekuy
1990,162.0,Abrekuy
1991,90.0,Abrekuy
1992,108.0,Abrekuy
1993,146.0,Abrekuy
1994,83.0,Abrekuy
1995,46.0,Abrekuy
1996,78.0,Abrekuy
1997,75.0,Abrekuy
1998,193.0,Abrekuy
1999,128.0,Abrekuy
2000,153.0,Abrekuy
2001,47.0,Abrekuy
2002,64.0,Abrekuy
2003,117.0,Abrekuy
2004,136.0,Abrekuy
2005,164.0,Abrekuy
2006,102.0,Abrekuy
2007,114.0,Abrekuy
2008,75.0,Abrekuy
2009,88.0,Abrekuy
2010,103.0,Abrekuy
2011,91.0,Abrekuy
2012,132.0,Abrekuy
2013,158.0,Abrekuy
2014,165.0,Abrekuy
2015,66.0,Abrekuy
2016,70.0,Abrekuy
2017,105.0,Abrekuy
2018,58.0,Abrekuy
2019,166.0,Abrekuy
2020,108.0769230769231,Abrekuy
1981,179.0,AdekeAla
1982,211.0,AdekeAla
1983,144.0,AdekeAla
1984,63.0,AdekeAla
1985,168.0,AdekeAla
1986,168.0,AdekeAla
1987,155.0,AdekeAla
1988,213.0,AdekeAla
1989,104.0,AdekeAla
1990,78.0,AdekeAla
1991,165.0,AdekeAla
1992,180.0,AdekeAla
1993,112.0,AdekeAla
1994,305.0,AdekeAla
1995,206.0,AdekeAla
1996,193.0,AdekeAla
1997,89.0,AdekeAla
1998,264.0,AdekeAla
1999,254.0,AdekeAla
2000,154.0,AdekeAla
2001,179.0,AdekeAla
2002,127.0,AdekeAla
2003,180.0,AdekeAla
2004,116.0,AdekeAla
2005,223.0,AdekeAla
2006,220.0,AdekeAla
2007,160.0,AdekeAla
2008,114.0,AdekeAla
2009,138.0,AdekeAla
2010,253.0,AdekeAla
2011,104.0,AdekeAla
2012,143.0,AdekeAla
2013,158.0,AdekeAla
2014,221.0,AdekeAla
2015,144.0,AdekeAla
2016,145.0,AdekeAla
2017,227.0,AdekeAla
2018,264.0,AdekeAla
2019,200.0,AdekeAla
2020,172.3333333333333,AdekeAla
1981,164.0,Adekiney
1982,149.0,Adekiney
1983,159.0,Adekiney
1984,111.0,Adekiney
1985,100.0,Adekiney
1986,211.0,Adekiney
1987,139.0,Adekiney
1988,235.0,Adekiney
1989,147.0,Adekiney
1990,108.0,Adekiney
1991,99.0,Adekiney
1992,272.0,Adekiney
1993,97.0,Adekiney
1994,196.0,Adekiney
1995,213.0,Adekiney
1996,106.0,Adekiney
1997,136.0,Adekiney
1998,268.0,Adekiney
1999,162.0,Adekiney
2000,158.0,Adekiney
2001,265.0,Adekiney
2002,208.0,Adekiney
2003,152.0,Adekiney
2004,157.0,Adekiney
2005,169.0,Adekiney
2006,172.0,Adekiney
2007,233.0,Adekiney
2008,114.0,Adekiney
2009,88.0,Adekiney
2010,151.0,Adekiney
2011,156.0,Adekiney
2012,180.0,Adekiney
2013,117.0,Adekiney
2014,152.0,Adekiney
2015,164.0,Adekiney
2016,149.0,Adekiney
2017,163.0,Adekiney
2018,174.0,Adekiney
2019,188.0,Adekiney
2020,163.6410256410257,Adekiney
1981,164.0,AderSeg
1982,172.0,AderSeg
1983,121.0,AderSeg
1984,98.0,AderSeg
1985,171.0,AderSeg
1986,179.0,AderSeg
1987,98.0,AderSeg
1988,185.0,AderSeg
1989,128.0,AderSeg
1990,114.0,AderSeg
1991,106.0,AderSeg
1992,181.0,AderSeg
1993,196.0,AderSeg
1994,165.0,AderSeg
1995,150.0,AderSeg
1996,109.0,AderSeg
1997,85.0,AderSeg
1998,233.0,AderSeg
1999,324.0,AderSeg
2000,324.0,AderSeg
2001,133.0,AderSeg
2002,137.0,AderSeg
2003,348.0,AderSeg
2004,107.0,AderSeg
2005,179.0,AderSeg
2006,247.0,AderSeg
2007,224.0,AderSeg
2008,147.0,AderSeg
2009,131.0,AderSeg
2010,207.0,AderSeg
2011,150.0,AderSeg
2012,150.0,AderSeg
2013,115.0,AderSeg
2014,167.0,AderSeg
2015,126.0,AderSeg
2016,126.0,AderSeg
2017,276.0,AderSeg
2018,250.0,AderSeg
2019,258.0,AderSeg
2020,173.87179487179486,AderSeg
1981,205.0,Adibearj
1982,197.0,Adibearj
1983,156.0,Adibearj
1984,167.0,Adibearj
1985,216.0,Adibearj
1986,200.0,Adibearj
1987,135.0,Adibearj
1988,191.0,Adibearj
1989,129.0,Adibearj
1990,152.0,Adibearj
1991,124.0,Adibearj
1992,310.0,Adibearj
1993,154.0,Adibearj
1994,292.0,Adibearj
1995,164.0,Adibearj
1996,183.0,Adibearj
1997,102.0,Adibearj
1998,235.0,Adibearj
1999,234.0,Adibearj
2000,198.0,Adibearj
2001,145.0,Adibearj
2002,133.0,Adibearj
2003,186.0,Adibearj
2004,113.0,Adibearj
2005,242.0,Adibearj
2006,258.0,Adibearj
2007,222.0,Adibearj
2008,125.0,Adibearj
2009,154.0,Adibearj
2010,287.0,Adibearj
2011,165.0,Adibearj
2012,300.0,Adibearj
2013,141.0,Adibearj
2014,352.0,Adibearj
2015,227.0,Adibearj
2016,223.0,Adibearj
2017,279.0,Adibearj
2018,240.0,Adibearj
2019,265.0,Adibearj
2020,200.02564102564088,Adibearj
1981,44.0,AdiHa
1982,74.0,AdiHa
1983,45.0,AdiHa
1984,28.0,AdiHa
1985,29.0,AdiHa
1986,24.0,AdiHa
1987,22.0,AdiHa
1988,84.0,AdiHa
1989,22.0,AdiHa
1990,35.0,AdiHa
1991,40.0,AdiHa
1992,41.0,AdiHa
1993,19.0,AdiHa
1994,32.0,AdiHa
1995,23.0,AdiHa
1996,25.0,AdiHa
1997,16.0,AdiHa
1998,40.0,AdiHa
1999,25.0,AdiHa
2000,45.0,AdiHa
2001,13.0,AdiHa
2002,11.0,AdiHa
2003,27.0,AdiHa
2004,20.0,AdiHa
2005,31.0,AdiHa
2006,24.0,AdiHa
2007,11.0,AdiHa
2008,7.0,AdiHa
2009,8.0,AdiHa
2010,64.0,AdiHa
2011,14.0,AdiHa
2012,26.0,AdiHa
2013,12.0,AdiHa
2014,32.0,AdiHa
2015,13.0,AdiHa
2016,9.0,AdiHa
2017,73.0,AdiHa
2018,58.0,AdiHa
2019,66.0,AdiHa
2020,31.589743589743573,AdiHa
1981,140.0,AdiKisandid
1982,161.0,AdiKisandid
1983,136.0,AdiKisandid
1984,48.0,AdiKisandid
1985,133.0,AdiKisandid
1986,81.0,AdiKisandid
1987,148.0,AdiKisandid
1988,170.0,AdiKisandid
1989,86.0,AdiKisandid
1990,48.0,AdiKisandid
1991,131.0,AdiKisandid
