Year,value,Village
2003,43.8,AbrahaAtsbaha
2004,28.2,AbrahaAtsbaha
2005,44.6,AbrahaAtsbaha
2006,62.3,AbrahaAtsbaha
2007,70.0,AbrahaAtsbaha
2008,69.9,AbrahaAtsbaha
2009,36.4,AbrahaAtsbaha
2010,67.6,AbrahaAtsbaha
2011,36.5,AbrahaAtsbaha
2012,32.4,AbrahaAtsbaha
2013,56.9,AbrahaAtsbaha
2014,53.7,AbrahaAtsbaha
1983,47.4991336447894,Abrekuy
1984,121.07011945047701,Abrekuy
1985,104.736022686151,Abrekuy
1986,100.94811089852301,Abrekuy
1987,98.43429175182742,Abrekuy
1988,109.986222616834,Abrekuy
1989,105.794235993853,Abrekuy
1990,109.40922611721399,Abrekuy
1991,69.2518971346925,Abrekuy
1992,65.2478332667289,Abrekuy
1993,92.3603955654825,Abrekuy
1994,134.529143528166,Abrekuy
1995,90.3107465328359,Abrekuy
1996,114.000150838411,Abrekuy
1997,62.68091935035271,Abrekuy
1998,66.8103559706958,Abrekuy
1999,75.2893815825835,Abrekuy
2000,87.5,Abrekuy
2001,54.6,Abrekuy
2002,54.1,Abrekuy
2003,98.9,Abrekuy
2004,68.1,Abrekuy
2005,109.4,Abrekuy
2006,110.9,Abrekuy
2007,112.9,Abrekuy
2008,103.3,Abrekuy
2009,100.2,Abrekuy
2010,106.4,Abrekuy
2011,108.9,Abrekuy
2012,99.0,Abrekuy
2013,104.6,Abrekuy
2014,104.3,Abrekuy
1983,6.99766216587074,AdekeAla
1984,15.902234805474698,AdekeAla
1985,38.5752583763635,AdekeAla
1986,28.129397438463503,AdekeAla
1987,15.482823871646,AdekeAla
1988,24.6936820381466,AdekeAla
1989,44.3666440151468,AdekeAla
1990,16.2476000184024,AdekeAla
1991,-2.36225536035202,AdekeAla
1992,26.9015633091612,AdekeAla
1993,29.223356420418,AdekeAla
1994,58.5558367674006,AdekeAla
1995,53.91975190876921,AdekeAla
1996,47.743316422327005,AdekeAla
1997,32.9265498885156,AdekeAla
1998,47.665761998964996,AdekeAla
1999,59.9798255127334,AdekeAla
2000,23.9,AdekeAla
2001,26.1,AdekeAla
2002,10.4,AdekeAla
2003,23.8,AdekeAla
2004,22.1,AdekeAla
2005,44.4,AdekeAla
2006,48.2,AdekeAla
2007,72.0,AdekeAla
2008,54.8,AdekeAla
2009,34.6,AdekeAla
2010,65.0,AdekeAla
2011,30.9,AdekeAla
2012,28.7,AdekeAla
2013,38.9,AdekeAla
2014,28.5,AdekeAla
1983,5.78222441033664,Adekiney
1984,-10.6726779258921,Adekiney
1985,28.842826849327302,Adekiney
1986,33.6752056676887,Adekiney
1987,-5.25648883538774,Adekiney
1988,31.5189558967374,Adekiney
1989,46.3190780869638,Adekiney
1990,-15.728486485371098,Adekiney
1991,-6.4316124729359005,Adekiney
1992,1.11050460956256,Adekiney
1993,31.8021009780463,Adekiney
1994,50.9606694874729,Adekiney
1995,35.143684781500895,Adekiney
1996,30.2115999093743,Adekiney
1997,24.622878349573497,Adekiney
1998,75.7386294173038,Adekiney
1999,44.9243536064061,Adekiney
2000,11.3,Adekiney
2001,3.8,Adekiney
2002,1.3,Adekiney
2003,40.7,Adekiney
2004,2.9,Adekiney
2005,41.9,Adekiney
2006,50.0,Adekiney
2007,72.7,Adekiney
2008,51.5,Adekiney
2009,40.9,Adekiney
2010,51.9,Adekiney
2011,13.5,Adekiney
2012,17.9,Adekiney
2013,41.8,Adekiney
2014,33.3,Adekiney
1983,-22.111774787776298,AderSeg
1984,14.5418829868151,AderSeg
1985,29.941275345018397,AderSeg
1986,38.345761219759005,AderSeg
1987,-11.5097428299158,AderSeg
