Year,value,Village
2003,34.8,AbrahaAtsbaha
2004,4.2,AbrahaAtsbaha
2005,33.4,AbrahaAtsbaha
2006,23.0,AbrahaAtsbaha
2007,59.7,AbrahaAtsbaha
2008,47.5,AbrahaAtsbaha
2009,29.6,AbrahaAtsbaha
2010,50.5,AbrahaAtsbaha
2011,15.4,AbrahaAtsbaha
2012,37.6,AbrahaAtsbaha
2013,8.6,AbrahaAtsbaha
2014,21.1,AbrahaAtsbaha
1983,88.2283775989428,Abrekuy
1984,76.4056125248503,Abrekuy
1985,137.502838374,Abrekuy
1986,91.22744060031691,Abrekuy
1987,123.92005768382099,Abrekuy
1988,87.9824399990783,Abrekuy
1989,119.61479652195601,Abrekuy
1990,80.9812810065113,Abrekuy
1991,131.333255186202,Abrekuy
1992,114.447456978172,Abrekuy
1993,107.380782283853,Abrekuy
1994,62.1244863252894,Abrekuy
1995,108.122767339841,Abrekuy
1996,170.901638043085,Abrekuy
1997,110.71182157775401,Abrekuy
1998,93.894527309164,Abrekuy
1999,109.89411570640301,Abrekuy
2000,115.0,Abrekuy
2001,33.0,Abrekuy
2002,48.1,Abrekuy
2003,113.2,Abrekuy
2004,102.5,Abrekuy
2005,128.0,Abrekuy
2006,110.8,Abrekuy
2007,122.7,Abrekuy
2008,149.0,Abrekuy
2009,94.2,Abrekuy
2010,104.4,Abrekuy
2011,120.1,Abrekuy
2012,139.6,Abrekuy
2013,79.3,Abrekuy
2014,99.5,Abrekuy
1983,50.993905442322905,AdekeAla
1984,5.9440654436485,AdekeAla
1985,25.322705358087696,AdekeAla
1986,22.1885940918387,AdekeAla
1987,61.3071539193623,AdekeAla
1988,27.528958758355998,AdekeAla
1989,15.6112602760518,AdekeAla
1990,5.1156541913158,AdekeAla
1991,42.9794865457041,AdekeAla
1992,38.2939091257242,AdekeAla
1993,45.677761965078204,AdekeAla
1994,20.2261537446449,AdekeAla
1995,34.9741797070689,AdekeAla
1996,36.43298234462829,AdekeAla
1997,36.931117885065,AdekeAla
1998,23.5522878046944,AdekeAla
1999,41.8551517489533,AdekeAla
2000,12.5,AdekeAla
2001,16.4,AdekeAla
2002,7.6,AdekeAla
2003,42.8,AdekeAla
2004,18.2,AdekeAla
2005,35.5,AdekeAla
2006,30.7,AdekeAla
2007,66.2,AdekeAla
2008,51.0,AdekeAla
2009,30.7,AdekeAla
2010,51.0,AdekeAla
2011,20.3,AdekeAla
2012,48.0,AdekeAla
2013,7.7,AdekeAla
2014,21.1,AdekeAla
1983,6.40263202541015,Adekiney
1984,1.67320061954718,Adekiney
1985,20.9802173034483,Adekiney
1986,4.4920062875297,Adekiney
1987,55.1172612952734,Adekiney
1988,15.045341436937498,Adekiney
1989,19.434143164907397,Adekiney
1990,0.549545670412694,Adekiney
1991,45.9506155953036,Adekiney
1992,33.053678593394,Adekiney
1993,7.97074418965212,Adekiney
1994,12.794619199205101,Adekiney
1995,17.4303534506357,Adekiney
1996,17.6205558305173,Adekiney
1997,13.773925079997401,Adekiney
1998,4.5505492364485995,Adekiney
1999,22.485663275253,Adekiney
2000,3.1,Adekiney
2001,7.8,Adekiney
2002,1.3,Adekiney
2003,23.0,Adekiney
2004,1.6,Adekiney
2005,27.7,Adekiney
2006,16.5,Adekiney
2007,48.3,Adekiney
2008,31.5,Adekiney
2009,23.5,Adekiney
2010,41.2,Adekiney
2011,14.5,Adekiney
2012,26.2,Adekiney
2013,2.2,Adekiney
2014,13.3,Adekiney
1983,40.0302850035364,AderSeg
1984,-1.79449088924793,AderSeg
1985,22.4625736037146,AderSeg
1986,27.411898409467696,AderSeg
1987,68.3150680962715,AderSeg
1988,24.0078050044972,AderSeg
1989,42.5984150259223,AderSeg
1990,26.372097245553398,AderSeg
1991,25.221348580074,AderSeg
1992,35.116042800138196,AderSeg
1993,26.6231049124023,AderSeg
1994,6.55838683320412,AderSeg
1995,28.6917992042047,AderSeg
1996,15.0841225319651,AderSeg
1997,9.186068836057991,AderSeg
1998,26.6258073537601,AderSeg
1999,41.3889988153284,AderSeg
2000,15.4,AderSeg
2001,10.7,AderSeg
2002,6.4,AderSeg
