gid,year,mean,rank,district,Zone,region,Country
6,2011,2.684931506849315,9,Weremo Wajetuna Mida, North Shewa (K3),Amhara, Ethiopia
6,2012,2.691256830601093,10,Weremo Wajetuna Mida, North Shewa (K3),Amhara, Ethiopia
7,1997,2.1844740364383566,1,Bugna, North Wollo,Amhara, Ethiopia
7,2014,2.408219272328767,2,Bugna, North Wollo,Amhara, Ethiopia
7,1984,2.416211434972677,3,Bugna, North Wollo,Amhara, Ethiopia
7,2002,2.418262817808219,4,Bugna, North Wollo,Amhara, Ethiopia
7,1999,2.4776239293150684,5,Bugna, North Wollo,Amhara, Ethiopia
7,1992,2.4817840071038244,6,Bugna, North Wollo,Amhara, Ethiopia
7,1994,2.5178072657534236,7,Bugna, North Wollo,Amhara, Ethiopia
7,1995,2.6155217476712314,8,Bugna, North Wollo,Amhara, Ethiopia
7,2012,2.6593774404371584,9,Bugna, North Wollo,Amhara, Ethiopia
7,2004,2.6602884827868847,10,Bugna, North Wollo,Amhara, Ethiopia
8,1997,2.132190434109589,1,Fogera, South Gonder,Amhara, Ethiopia
8,1984,2.345114627595628,2,Fogera, South Gonder,Amhara, Ethiopia
8,2002,2.391950605342466,3,Fogera, South Gonder,Amhara, Ethiopia
8,1999,2.42842380109589,4,Fogera, South Gonder,Amhara, Ethiopia
8,2014,2.4318493768493146,5,Fogera, South Gonder,Amhara, Ethiopia
8,1992,2.440060556557376,6,Fogera, South Gonder,Amhara, Ethiopia
8,1994,2.4857865306849316,7,Fogera, South Gonder,Amhara, Ethiopia
8,1995,2.5606146663013694,8,Fogera, South Gonder,Amhara, Ethiopia
8,1991,2.589724061369863,9,Fogera, South Gonder,Amhara, Ethiopia
8,2004,2.5932350060109304,10,Fogera, South Gonder,Amhara, Ethiopia
9,1997,2.06305080539726,1,Kemekem, South Gonder,Amhara, Ethiopia
9,1984,2.2550781323497255,2,Kemekem, South Gonder,Amhara, Ethiopia
9,1992,2.4058245202185797,3,Kemekem, South Gonder,Amhara, Ethiopia
9,2002,2.4385371652054793,4,Kemekem, South Gonder,Amhara, Ethiopia
9,1999,2.439198618,5,Kemekem, South Gonder,Amhara, Ethiopia
9,2014,2.4758633787397257,6,Kemekem, South Gonder,Amhara, Ethiopia
9,1994,2.4873331224657544,7,Kemekem, South Gonder,Amhara, Ethiopia
9,1986,2.5866749647397254,8,Kemekem, South Gonder,Amhara, Ethiopia
9,1985,2.6036254249315065,9,Kemekem, South Gonder,Amhara, Ethiopia
9,1995,2.6057991398356157,10,Kemekem, South Gonder,Amhara, Ethiopia
10,1997,2.22919608739726,1,Lay Gayint, South Gonder,Amhara, Ethiopia
