gid,year,mean,rank,district,Zone,region,Country
7,2014,2.408219272,9,Bugna, North Wollo,Amhara, Ethiopia
7,1984,2.416211435,8,Bugna, North Wollo,Amhara, Ethiopia
7,2002,2.418262818,7,Bugna, North Wollo,Amhara, Ethiopia
7,1999,2.477623929,6,Bugna, North Wollo,Amhara, Ethiopia
7,1992,2.481784007,5,Bugna, North Wollo,Amhara, Ethiopia
7,1994,2.517807266,4,Bugna, North Wollo,Amhara, Ethiopia
7,1995,2.615521748,3,Bugna, North Wollo,Amhara, Ethiopia
7,2012,2.65937744,2,Bugna, North Wollo,Amhara, Ethiopia
7,2004,2.660288483,1,Bugna, North Wollo,Amhara, Ethiopia
8,1997,2.132190434,10,Fogera, South Gonder,Amhara, Ethiopia
8,1984,2.345114628,9,Fogera, South Gonder,Amhara, Ethiopia
8,2002,2.391950605,8,Fogera, South Gonder,Amhara, Ethiopia
8,1999,2.428423801,7,Fogera, South Gonder,Amhara, Ethiopia
8,2014,2.431849377,6,Fogera, South Gonder,Amhara, Ethiopia
8,1992,2.440060557,5,Fogera, South Gonder,Amhara, Ethiopia
8,1994,2.485786531,4,Fogera, South Gonder,Amhara, Ethiopia
8,1995,2.560614666,3,Fogera, South Gonder,Amhara, Ethiopia
8,1991,2.589724061,2,Fogera, South Gonder,Amhara, Ethiopia
8,2004,2.593235006,1,Fogera, South Gonder,Amhara, Ethiopia
9,1997,2.063050805,10,Kemekem, South Gonder,Amhara, Ethiopia
9,1984,2.255078132,9,Kemekem, South Gonder,Amhara, Ethiopia
9,1992,2.40582452,8,Kemekem, South Gonder,Amhara, Ethiopia
9,2002,2.438537165,7,Kemekem, South Gonder,Amhara, Ethiopia
9,1999,2.439198618,6,Kemekem, South Gonder,Amhara, Ethiopia
9,2014,2.475863379,5,Kemekem, South Gonder,Amhara, Ethiopia
9,1994,2.487333122,4,Kemekem, South Gonder,Amhara, Ethiopia
9,1986,2.586674965,3,Kemekem, South Gonder,Amhara, Ethiopia
9,1985,2.603625425,2,Kemekem, South Gonder,Amhara, Ethiopia
9,1995,2.60579914,1,Kemekem, South Gonder,Amhara, Ethiopia
10,1997,2.229196087,10,Lay Gayint, South Gonder,Amhara, Ethiopia
10,2014,2.244171131,9,Lay Gayint, South Gonder,Amhara, Ethiopia
10,2002,2.264098153,8,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1995,2.36948095,7,Lay Gayint, South Gonder,Amhara, Ethiopia
10,2004,2.375770849,6,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1984,2.404481623,5,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1999,2.459709443,4,Lay Gayint, South Gonder,Amhara, Ethiopia
10,2012,2.501378866,3,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1994,2.526664594,2,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1992,2.538514706,1,Lay Gayint, South Gonder,Amhara, Ethiopia
11,1997,2.223970736,10,Simada, South Gonder,Amhara, Ethiopia
11,2002,2.371915841,9,Simada, South Gonder,Amhara, Ethiopia
11,2014,2.382875904,8,Simada, South Gonder,Amhara, Ethiopia
11,1984,2.471310726,7,Simada, South Gonder,Amhara, Ethiopia
11,1999,2.490408459,6,Simada, South Gonder,Amhara, Ethiopia
11,1992,2.492485201,5,Simada, South Gonder,Amhara, Ethiopia
11,1994,2.515752352,4,Simada, South Gonder,Amhara, Ethiopia
11,1995,2.549313078,3,Simada, South Gonder,Amhara, Ethiopia
11,2004,2.590844244,2,Simada, South Gonder,Amhara, Ethiopia
11,2012,2.598358456,1,Simada, South Gonder,Amhara, Ethiopia
12,1997,2.038605572,10,Tach Gayint, South Gonder,Amhara, Ethiopia
12,2002,2.245042145,9,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1984,2.262988941,8,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1999,2.353165788,7,Tach Gayint, South Gonder,Amhara, Ethiopia
12,2004,2.362173521,6,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1992,2.367069043,5,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1994,2.390821016,4,Tach Gayint, South Gonder,Amhara, Ethiopia
12,2014,2.395284696,3,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1995,2.396235897,2,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1991,2.458995225,1,Tach Gayint, South Gonder,Amhara, Ethiopia
13,2014,2.155640441,10,Amba Sel, South Wollo,Amhara, Ethiopia
13,2002,2.316112775,9,Amba Sel, South Wollo,Amhara, Ethiopia
13,1997,2.346774054,8,Amba Sel, South Wollo,Amhara, Ethiopia
13,1984,2.418798434,7,Amba Sel, South Wollo,Amhara, Ethiopia
13,1995,2.478862852,6,Amba Sel, South Wollo,Amhara, Ethiopia
13,2004,2.492675631,5,Amba Sel, South Wollo,Amhara, Ethiopia
13,2009,2.507178151,4,Amba Sel, South Wollo,Amhara, Ethiopia
13,1992,2.521730896,3,Amba Sel, South Wollo,Amhara, Ethiopia
13,1999,2.562831764,2,Amba Sel, South Wollo,Amhara, Ethiopia
13,1994,2.564645985,1,Amba Sel, South Wollo,Amhara, Ethiopia
14,2014,2.375342466,10,Debre Sina, South Wollo,Amhara, Ethiopia
14,1997,2.38630137,9,Debre Sina, South Wollo,Amhara, Ethiopia
14,1984,2.524590164,8,Debre Sina, South Wollo,Amhara, Ethiopia
14,2002,2.536986301,7,Debre Sina, South Wollo,Amhara, Ethiopia
14,1992,2.56557377,6,Debre Sina, South Wollo,Amhara, Ethiopia
14,1994,2.610958904,5,Debre Sina, South Wollo,Amhara, Ethiopia
14,1999,2.630136986,4,Debre Sina, South Wollo,Amhara, Ethiopia
14,2009,2.704109589,3,Debre Sina, South Wollo,Amhara, Ethiopia
14,1988,2.715846995,2,Debre Sina, South Wollo,Amhara, Ethiopia
14,1986,2.736986301,1,Debre Sina, South Wollo,Amhara, Ethiopia
15,2014,2.375342466,10,Dessie, South Wollo,Amhara, Ethiopia
15,1997,2.38630137,9,Dessie, South Wollo,Amhara, Ethiopia
15,1984,2.524590164,8,Dessie, South Wollo,Amhara, Ethiopia
15,2002,2.536986301,7,Dessie, South Wollo,Amhara, Ethiopia
15,1992,2.56557377,6,Dessie, South Wollo,Amhara, Ethiopia
15,1994,2.610958904,5,Dessie, South Wollo,Amhara, Ethiopia
15,1999,2.630136986,4,Dessie, South Wollo,Amhara, Ethiopia
15,2009,2.704109589,3,Dessie, South Wollo,Amhara, Ethiopia
15,1988,2.715846995,2,Dessie, South Wollo,Amhara, Ethiopia
15,1986,2.736986301,1,Dessie, South Wollo,Amhara, Ethiopia
16,1997,2.413697246,10,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,2014,2.446571752,9,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,1992,2.519128195,8,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,1984,2.527322415,7,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,2002,2.591778016,6,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,1994,2.642464252,5,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,1999,2.687668319,4,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,1988,2.718579159,3,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,2009,2.724656435,2,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,1986,2.761642658,1,Dessie Zuria, South Wollo,Amhara, Ethiopia
17,2014,2.310683969,10,Jama, South Wollo,Amhara, Ethiopia
17,1997,2.382282645,9,Jama, South Wollo,Amhara, Ethiopia
17,2002,2.474154331,8,Jama, South Wollo,Amhara, Ethiopia
17,1984,2.495081844,7,Jama, South Wollo,Amhara, Ethiopia
17,1992,2.518579935,6,Jama, South Wollo,Amhara, Ethiopia
17,1994,2.593789861,5,Jama, South Wollo,Amhara, Ethiopia
17,1999,2.654975906,4,Jama, South Wollo,Amhara, Ethiopia
17,2004,2.665755265,3,Jama, South Wollo,Amhara, Ethiopia
17,2009,2.686574588,2,Jama, South Wollo,Amhara, Ethiopia
17,1995,2.693332028,1,Jama, South Wollo,Amhara, Ethiopia
18,1997,2.33241839,10,Kalu, South Wollo,Amhara, Ethiopia
18,2014,2.37260285,9,Kalu, South Wollo,Amhara, Ethiopia
18,2002,2.463011411,8,Kalu, South Wollo,Amhara, Ethiopia
18,1984,2.506374873,7,Kalu, South Wollo,Amhara, Ethiopia
18,1992,2.541893783,6,Kalu, South Wollo,Amhara, Ethiopia
18,1994,2.574428124,5,Kalu, South Wollo,Amhara, Ethiopia
18,1999,2.590866453,4,Kalu, South Wollo,Amhara, Ethiopia
18,1995,2.659357744,3,Kalu, South Wollo,Amhara, Ethiopia
18,2004,2.697628751,2,Kalu, South Wollo,Amhara, Ethiopia
18,2009,2.700456827,1,Kalu, South Wollo,Amhara, Ethiopia
19,1997,2.303424661,10,Kelela, South Wollo,Amhara, Ethiopia
19,2014,2.393835616,9,Kelela, South Wollo,Amhara, Ethiopia
19,2002,2.437671233,8,Kelela, South Wollo,Amhara, Ethiopia
19,1984,2.50136612,7,Kelela, South Wollo,Amhara, Ethiopia
19,1992,2.536885249,6,Kelela, South Wollo,Amhara, Ethiopia
19,1994,2.558904113,5,Kelela, South Wollo,Amhara, Ethiopia
19,1999,2.581506849,4,Kelela, South Wollo,Amhara, Ethiopia
19,1995,2.623287672,3,Kelela, South Wollo,Amhara, Ethiopia
19,2004,2.672814211,2,Kelela, South Wollo,Amhara, Ethiopia
19,2011,2.684931507,1,Kelela, South Wollo,Amhara, Ethiopia
20,2014,2.274472824,10,Kombolcha, South Wollo,Amhara, Ethiopia
20,1997,2.328019206,9,Kombolcha, South Wollo,Amhara, Ethiopia
20,2002,2.393524098,8,Kombolcha, South Wollo,Amhara, Ethiopia
20,1984,2.478638857,7,Kombolcha, South Wollo,Amhara, Ethiopia
20,1992,2.516145443,6,Kombolcha, South Wollo,Amhara, Ethiopia
20,1999,2.564381974,5,Kombolcha, South Wollo,Amhara, Ethiopia
20,1994,2.565379519,4,Kombolcha, South Wollo,Amhara, Ethiopia
20,2004,2.586189025,3,Kombolcha, South Wollo,Amhara, Ethiopia
20,1995,2.589040081,2,Kombolcha, South Wollo,Amhara, Ethiopia
20,2009,2.624411082,1,Kombolcha, South Wollo,Amhara, Ethiopia
21,1997,2.301369863,10,Kutaber, South Wollo,Amhara, Ethiopia
21,2014,2.416438356,9,Kutaber, South Wollo,Amhara, Ethiopia
21,2002,2.449315068,8,Kutaber, South Wollo,Amhara, Ethiopia
21,1984,2.505464481,7,Kutaber, South Wollo,Amhara, Ethiopia
21,1992,2.543715847,6,Kutaber, South Wollo,Amhara, Ethiopia
21,1994,2.561643836,5,Kutaber, South Wollo,Amhara, Ethiopia
21,1999,2.591780822,4,Kutaber, South Wollo,Amhara, Ethiopia
21,1995,2.632876712,3,Kutaber, South Wollo,Amhara, Ethiopia
21,2011,2.684931507,2,Kutaber, South Wollo,Amhara, Ethiopia
21,2012,2.691256831,1,Kutaber, South Wollo,Amhara, Ethiopia
22,1997,2.21369863,10,Legambo, South Wollo,Amhara, Ethiopia
22,2014,2.41369863,9,Legambo, South Wollo,Amhara, Ethiopia
22,1984,2.418032787,8,Legambo, South Wollo,Amhara, Ethiopia
22,2002,2.484931507,7,Legambo, South Wollo,Amhara, Ethiopia
