year,District,value
2016,Kabwe,252.51947
2017,Kabwe,247.89547
2018,Kabwe,239.962904
2019,Kabwe,247.75907
1981,Kapiri Mposhi,222.980328
1982,Kapiri Mposhi,261.60135
1983,Kapiri Mposhi,270.6286
1984,Kapiri Mposhi,260.00734
1985,Kapiri Mposhi,260.9053
1986,Kapiri Mposhi,257.65098
1987,Kapiri Mposhi,254.613677
1988,Kapiri Mposhi,275
1989,Kapiri Mposhi,255.87452
1990,Kapiri Mposhi,254.20296
1991,Kapiri Mposhi,261.41691
1992,Kapiri Mposhi,275
1993,Kapiri Mposhi,206.996404
1994,Kapiri Mposhi,241.487898
1995,Kapiri Mposhi,252.41544
1996,Kapiri Mposhi,260.83694
1997,Kapiri Mposhi,254.62675
1998,Kapiri Mposhi,275
1999,Kapiri Mposhi,275
2000,Kapiri Mposhi,275
2001,Kapiri Mposhi,233.95401
2002,Kapiri Mposhi,275
2003,Kapiri Mposhi,244.38006
2004,Kapiri Mposhi,232.35936
2005,Kapiri Mposhi,275
2006,Kapiri Mposhi,248.007175
2007,Kapiri Mposhi,239.751884
2008,Kapiri Mposhi,267.26143
2009,Kapiri Mposhi,274.52743
2010,Kapiri Mposhi,265.37449
2011,Kapiri Mposhi,266.44769
2012,Kapiri Mposhi,243.728969
2013,Kapiri Mposhi,254.318517
2014,Kapiri Mposhi,254.853159
2015,Kapiri Mposhi,272.65398
2016,Kapiri Mposhi,254.013048
2017,Kapiri Mposhi,263.20106
2018,Kapiri Mposhi,252.233496
2019,Kapiri Mposhi,253.13316
1981,Luano,209.639454
1982,Luano,230.128681
1983,Luano,267.52762
1984,Luano,255.684643
1985,Luano,257.049819
1986,Luano,237.705915
1987,Luano,255.886423
1988,Luano,274.28243
1989,Luano,243.167869
1990,Luano,247.01885
1991,Luano,245.709711
1992,Luano,265.29235
1993,Luano,200.119163
1994,Luano,235.012307
1995,Luano,253.34485
1996,Luano,257.146621
1997,Luano,253.180932
1998,Luano,255.05973
1999,Luano,275
2000,Luano,270.36494
2001,Luano,207.0234
2002,Luano,275
2003,Luano,232.070747
2004,Luano,213.113956
2005,Luano,275
2006,Luano,255.396743
2007,Luano,224.560076
2008,Luano,268.5104
2009,Luano,269.77641
2010,Luano,252.3522
2011,Luano,269.584
2012,Luano,244.043401
2013,Luano,253.083496
2014,Luano,252.715244
2015,Luano,272.75602
2016,Luano,252.949472
2017,Luano,252.15295
2018,Luano,231.710422
2019,Luano,216.85973
1981,Mkushi,222.008054
1982,Mkushi,243.22112
1983,Mkushi,273.47392
1984,Mkushi,263.71317
1985,Mkushi,259.181489
1986,Mkushi,273.05173
1987,Mkushi,257.152171
1988,Mkushi,275
1989,Mkushi,257.79818
1990,Mkushi,266.97487
1991,Mkushi,260.3267
1992,Mkushi,275
1993,Mkushi,223.855025
1994,Mkushi,254.048993
1995,Mkushi,261.67482
1996,Mkushi,267.46305
1997,Mkushi,260.41021
1998,Mkushi,275
1999,Mkushi,275
2000,Mkushi,275
2001,Mkushi,248.94098
2002,Mkushi,275
2003,Mkushi,257.64015
2004,Mkushi,239.876934
2005,Mkushi,275
2006,Mkushi,259.12257
2007,Mkushi,245.239755
2008,Mkushi,273.8368
2009,Mkushi,275
2010,Mkushi,270.71685
2011,Mkushi,271.66283
2012,Mkushi,254.50487
2013,Mkushi,256.031283
2014,Mkushi,259.328514
2015,Mkushi,274.28266
2016,Mkushi,255.782106
2017,Mkushi,274.194
2018,Mkushi,257.644585
2019,Mkushi,258.11047
1981,Mumbwa,224.504723
1982,Mumbwa,252.43541
1983,Mumbwa,268.54272
1984,Mumbwa,259.572433
1985,Mumbwa,263.42903
1986,Mumbwa,265.1703
1987,Mumbwa,261.08713
1988,Mumbwa,271.98225
1989,Mumbwa,263.11035
1990,Mumbwa,244.53885
1991,Mumbwa,257.45045
1992,Mumbwa,261.42136
1993,Mumbwa,222.483192
1994,Mumbwa,223.88287
1995,Mumbwa,246.248774
1996,Mumbwa,254.086167
1997,Mumbwa,258.157414
1998,Mumbwa,275
1999,Mumbwa,275
2000,Mumbwa,275
2001,Mumbwa,227.453721
2002,Mumbwa,270.04661
2003,Mumbwa,257.850044
2004,Mumbwa,243.856075
2005,Mumbwa,271.098
2006,Mumbwa,256.142365
2007,Mumbwa,244.826767
2008,Mumbwa,262.72717
2009,Mumbwa,264.37524
2010,Mumbwa,272.01337
2011,Mumbwa,274.30264
2012,Mumbwa,220.809038
2013,Mumbwa,251.134078
2014,Mumbwa,254.659687
2015,Mumbwa,269.81688
2016,Mumbwa,257.347076
2017,Mumbwa,257.45407
2018,Mumbwa,232.464205
2019,Mumbwa,264.7293
1981,Ngabwe,243.845028
1982,Ngabwe,267.65893
1983,Ngabwe,270.91082
1984,Ngabwe,260.41078
1985,Ngabwe,262.76592
1986,Ngabwe,260.78027
1987,Ngabwe,257.821597
1988,Ngabwe,273.92198
1989,Ngabwe,258.408517
1990,Ngabwe,259.62367
1991,Ngabwe,269.08516
1992,Ngabwe,275
1993,Ngabwe,209.952699
1994,Ngabwe,238.029813
1995,Ngabwe,246.659013
1996,Ngabwe,258.608338
1997,Ngabwe,255.422796
1998,Ngabwe,275
1999,Ngabwe,275
2000,Ngabwe,275
2001,Ngabwe,227.39764
2002,Ngabwe,275
2003,Ngabwe,264.43259
2004,Ngabwe,256.735277
2005,Ngabwe,270.67187
2006,Ngabwe,253.122584
2007,Ngabwe,243.584124
2008,Ngabwe,262.73231
2009,Ngabwe,274.45178
2010,Ngabwe,270.88883
2011,Ngabwe,275
2012,Ngabwe,241.497937
2013,Ngabwe,254.279552
2014,Ngabwe,256.304885
2015,Ngabwe,274.15362
2016,Ngabwe,253.579327
2017,Ngabwe,266.35256
2018,Ngabwe,254.105039
2019,Ngabwe,262.0097
1981,Serenje,239.672975
1982,Serenje,251.87719
1983,Serenje,275
1984,Serenje,267.25133
1985,Serenje,262.20143
1986,Serenje,271.6511
1987,Serenje,262.51807
1988,Serenje,275
1989,Serenje,261.78144
1990,Serenje,273.60781
1991,Serenje,259.6923
1992,Serenje,275
1993,Serenje,226.87094
1994,Serenje,259.89215
1995,Serenje,263.89323
1996,Serenje,268.59396
1997,Serenje,263.2919
1998,Serenje,275
1999,Serenje,275
2000,Serenje,275
2001,Serenje,263.96779
2002,Serenje,275
2003,Serenje,263.79717
2004,Serenje,247.395137
2005,Serenje,275
2006,Serenje,264.66808
2007,Serenje,255.093385
2008,Serenje,274.62006
2009,Serenje,275
2010,Serenje,268.70592
2011,Serenje,275
2012,Serenje,259.342458
2013,Serenje,257.554429
2014,Serenje,261.88072
2015,Serenje,271.71813
2016,Serenje,259.961261
2017,Serenje,270.47534
2018,Serenje,260.7215
2019,Serenje,260.24954
1981,Chililabombwe,260.23735
1982,Chililabombwe,259.02624
1983,Chililabombwe,273.01847
1984,Chililabombwe,275
1985,Chililabombwe,275
1986,Chililabombwe,265.80074
1987,Chililabombwe,268.75514
1988,Chililabombwe,275
1989,Chililabombwe,262.9187
1990,Chililabombwe,275
1991,Chililabombwe,271.89138
1992,Chililabombwe,275
1993,Chililabombwe,263.61637
1994,Chililabombwe,273.2665
1995,Chililabombwe,275
1996,Chililabombwe,270.46685
1997,Chililabombwe,273.74419
1998,Chililabombwe,275
1999,Chililabombwe,275
2000,Chililabombwe,275
2001,Chililabombwe,275
2002,Chililabombwe,275
2003,Chililabombwe,269.4384
2004,Chililabombwe,275
