year,District,value
1994,Katete,257.74882
1995,Katete,254.003628
1996,Katete,261.58049
1997,Katete,262.9111
1998,Katete,266.64352
1999,Katete,275
2000,Katete,275
2001,Katete,270.55303
2002,Katete,275
2003,Katete,247.227328
2004,Katete,207.51907
2005,Katete,270.9693
2006,Katete,266.36862
2007,Katete,253.090785
2008,Katete,273.51374
2009,Katete,275
2010,Katete,263.04526
2011,Katete,270.02647
2012,Katete,254.9489
2013,Katete,258.182934
2014,Katete,253.86147
2015,Katete,275
2016,Katete,256.493414
2017,Katete,275
2018,Katete,241.281582
2019,Katete,235.862605
1981,Lumezi,270.68601
1982,Lumezi,252.1812
1983,Lumezi,270.75305
1984,Lumezi,275
1985,Lumezi,274.45963
1986,Lumezi,275
1987,Lumezi,273.26986
1988,Lumezi,275
1989,Lumezi,252.541997
1990,Lumezi,269.83126
1991,Lumezi,262.1927
1992,Lumezi,275
1993,Lumezi,254.6348
1994,Lumezi,273.17044
1995,Lumezi,269.59633
1996,Lumezi,273.65909
1997,Lumezi,275
1998,Lumezi,272.22008
1999,Lumezi,275
2000,Lumezi,275
2001,Lumezi,275
2002,Lumezi,275
2003,Lumezi,261.36121
2004,Lumezi,249.11988
2005,Lumezi,275
2006,Lumezi,274.18175
2007,Lumezi,257.720692
2008,Lumezi,275
2009,Lumezi,275
2010,Lumezi,275
2011,Lumezi,275
2012,Lumezi,275
2013,Lumezi,266.88374
2014,Lumezi,267.45229
2015,Lumezi,275
2016,Lumezi,263.48421
2017,Lumezi,275
2018,Lumezi,275
2019,Lumezi,266.9726
1981,Lundazi,272.99722
1982,Lundazi,242.082101
1983,Lundazi,270.13854
1984,Lundazi,275
1985,Lundazi,275
1986,Lundazi,275
1987,Lundazi,275
1988,Lundazi,262.88693
1989,Lundazi,241.398932
1990,Lundazi,269.04292
1991,Lundazi,268.6147
1992,Lundazi,275
1993,Lundazi,263.03404
1994,Lundazi,267.02311
1995,Lundazi,275
1996,Lundazi,266.02557
1997,Lundazi,270.81087
1998,Lundazi,262.83802
1999,Lundazi,275
2000,Lundazi,275
2001,Lundazi,268.0771
2002,Lundazi,275
2003,Lundazi,257.652667
2004,Lundazi,255.26688
2005,Lundazi,275
2006,Lundazi,262.29729
2007,Lundazi,256.915495
2008,Lundazi,275
2009,Lundazi,271.16799
2010,Lundazi,273.62675
2011,Lundazi,275
2012,Lundazi,275
2013,Lundazi,272.54679
2014,Lundazi,259.25713
2015,Lundazi,275
2016,Lundazi,259.82858
2017,Lundazi,275
2018,Lundazi,275
2019,Lundazi,274.70363
1981,Mambwe,257.44078
1982,Mambwe,250.755798
1983,Mambwe,272.15613
1984,Mambwe,275
1985,Mambwe,266.75414
1986,Mambwe,271.2073
1987,Mambwe,273.33144
1988,Mambwe,275
1989,Mambwe,254.941912
1990,Mambwe,275
1991,Mambwe,245.930296
1992,Mambwe,275
1993,Mambwe,230.891344
1994,Mambwe,263.91438
1995,Mambwe,262.95639
1996,Mambwe,263.06469
1997,Mambwe,275
1998,Mambwe,271.48388
1999,Mambwe,273.66269
2000,Mambwe,275
2001,Mambwe,271.52828
2002,Mambwe,275
2003,Mambwe,260.59532
2004,Mambwe,233.326412
2005,Mambwe,271.93479
2006,Mambwe,272.16508
2007,Mambwe,255.232003
2008,Mambwe,275
2009,Mambwe,275
2010,Mambwe,275
2011,Mambwe,275
2012,Mambwe,262.91516
2013,Mambwe,260.25694
2014,Mambwe,262.37603
2015,Mambwe,274.23938
2016,Mambwe,263.46838
2017,Mambwe,274.59458
2018,Mambwe,262.15373
2019,Mambwe,259.52302
1981,Nyimba,219.656137
1982,Nyimba,240.391726
1983,Nyimba,275
1984,Nyimba,255.766316
1985,Nyimba,259.292336
1986,Nyimba,242.122903
1987,Nyimba,260.22456
1988,Nyimba,275
1989,Nyimba,254.93867
1990,Nyimba,272.55258
1991,Nyimba,235.72107
1992,Nyimba,269.86161
1993,Nyimba,204.571095
1994,Nyimba,252.763827
1995,Nyimba,253.212176
1996,Nyimba,259.5787
1997,Nyimba,249.13197
1998,Nyimba,264.38877
1999,Nyimba,275
2000,Nyimba,275
2001,Nyimba,232.259826
2002,Nyimba,274.54268
2003,Nyimba,245.870484
2004,Nyimba,213.402456
2005,Nyimba,272.60009
2006,Nyimba,257.586423
2007,Nyimba,240.920335
2008,Nyimba,271.78235
2009,Nyimba,275
2010,Nyimba,250.81759
2011,Nyimba,269.56564
2012,Nyimba,245.001121
2013,Nyimba,255.91459
2014,Nyimba,254.268098
2015,Nyimba,266.98842
2016,Nyimba,255.19414
2017,Nyimba,265.6312
2018,Nyimba,241.694409
2019,Nyimba,231.369809
1981,Petauke,231.238784
1982,Petauke,244.712791
1983,Petauke,272.9488
1984,Petauke,266.66026
1985,Petauke,262.09574
1986,Petauke,261.90126
1987,Petauke,264.06047
1988,Petauke,275
1989,Petauke,257.905158
1990,Petauke,270.05105
1991,Petauke,249.586633
1992,Petauke,275
1993,Petauke,214.691305
1994,Petauke,260.76423
1995,Petauke,256.373093
1996,Petauke,256.33054
1997,Petauke,261.57022
1998,Petauke,274.48266
1999,Petauke,275
2000,Petauke,275
2001,Petauke,255.35036
2002,Petauke,275
2003,Petauke,255.55508
2004,Petauke,220.133518
2005,Petauke,273.35592
2006,Petauke,264.15487
2007,Petauke,247.786322
2008,Petauke,274.33249
2009,Petauke,275
2010,Petauke,264.36954
2011,Petauke,270.34063
2012,Petauke,250.475211
2013,Petauke,256.930351
2014,Petauke,253.3973
2015,Petauke,273.11664
2016,Petauke,257.774342
2017,Petauke,268.42723
2018,Petauke,253.70079
2019,Petauke,239.88275
1981,Sinda,233.53595
1982,Sinda,242.431285
1983,Sinda,270.27493
1984,Sinda,267.57595
1985,Sinda,261.13121
1986,Sinda,259.44116
1987,Sinda,264.95078
1988,Sinda,275
1989,Sinda,256.868194
1990,Sinda,269.14124
1991,Sinda,253.729897
1992,Sinda,261.15993
1993,Sinda,217.341012
1994,Sinda,259.216328
1995,Sinda,255.330479
1996,Sinda,258.39544
1997,Sinda,259.28555
1998,Sinda,270.43147
1999,Sinda,275
2000,Sinda,275
2001,Sinda,256.25054
2002,Sinda,275
2003,Sinda,249.426993
2004,Sinda,215.826801
2005,Sinda,271.44956
2006,Sinda,264.02508
2007,Sinda,248.013548
2008,Sinda,272.22109
2009,Sinda,272.6617
2010,Sinda,263.16005
2011,Sinda,266.65233
2012,Sinda,256.800045
2013,Sinda,257.344596
2014,Sinda,256.82378
2015,Sinda,275
2016,Sinda,256.285636
2017,Sinda,266.06413
2018,Sinda,248.264755
2019,Sinda,232.505865
1981,Vubwi,263.97819
1982,Vubwi,253.600395
1983,Vubwi,274.92141
1984,Vubwi,271.56913
1985,Vubwi,273.19403
1986,Vubwi,264.87668
1987,Vubwi,274.73987
1988,Vubwi,275
1989,Vubwi,253.142716
1990,Vubwi,275
1991,Vubwi,257.40879
1992,Vubwi,275
1993,Vubwi,231.825259
1994,Vubwi,260.3369
1995,Vubwi,256.564502
1996,Vubwi,268.17386
1997,Vubwi,275
1998,Vubwi,275
1999,Vubwi,275
2000,Vubwi,275
2001,Vubwi,275
2002,Vubwi,275
2003,Vubwi,261.0916
2004,Vubwi,225.086484
2005,Vubwi,262.48559
2006,Vubwi,269.93338
2007,Vubwi,253.13793
2008,Vubwi,275
2009,Vubwi,275
2010,Vubwi,272.0089
2011,Vubwi,275
2012,Vubwi,264.67819
2013,Vubwi,266.95373
2014,Vubwi,268.157
2015,Vubwi,275
2016,Vubwi,261.98595
2017,Vubwi,275
2018,Vubwi,261.81998
2019,Vubwi,245.61519
1981,Chembe,266.99533
1982,Chembe,267.69985
1983,Chembe,275
1984,Chembe,275
1985,Chembe,275
1986,Chembe,275
1987,Chembe,268.40591
1988,Chembe,275
1989,Chembe,268.0247
1990,Chembe,275
1991,Chembe,275
1992,Chembe,275
1993,Chembe,270.8002
1994,Chembe,274.44045
1995,Chembe,275
1996,Chembe,275
1997,Chembe,275
1998,Chembe,275
1999,Chembe,275
2000,Chembe,275
2001,Chembe,275
2002,Chembe,275
2003,Chembe,275
2004,Chembe,275
2005,Chembe,275
2006,Chembe,271.37024
2007,Chembe,263.9382
2008,Chembe,275
2009,Chembe,275
2010,Chembe,275
2011,Chembe,275
2012,Chembe,275
2013,Chembe,275
2014,Chembe,266.65229
2015,Chembe,275
2016,Chembe,272.53787
2017,Chembe,275
2018,Chembe,275
2019,Chembe,275
1981,Chiengi,275
1982,Chiengi,275
1983,Chiengi,275
1984,Chiengi,275
1985,Chiengi,275
1986,Chiengi,273.86316
1987,Chiengi,275
1988,Chiengi,256.470424
1989,Chiengi,275
1990,Chiengi,275
1991,Chiengi,275
1992,Chiengi,275
1993,Chiengi,275
1994,Chiengi,275
1995,Chiengi,275
1996,Chiengi,275
1997,Chiengi,275
1998,Chiengi,266.59219
1999,Chiengi,275
2000,Chiengi,275
2001,Chiengi,275
2002,Chiengi,256.611351
2003,Chiengi,275
2004,Chiengi,275
2005,Chiengi,275
2006,Chiengi,266.75359
2007,Chiengi,275
2008,Chiengi,275
2009,Chiengi,275
2010,Chiengi,275
2011,Chiengi,275
2012,Chiengi,275
2013,Chiengi,275
2014,Chiengi,271.49087
2015,Chiengi,275
2016,Chiengi,275
2017,Chiengi,275
2018,Chiengi,275
2019,Chiengi,275
1981,Chifunabuli,263.24625
1982,Chifunabuli,271.98508
1983,Chifunabuli,275
1984,Chifunabuli,275
1985,Chifunabuli,275
1986,Chifunabuli,275
1987,Chifunabuli,275
1988,Chifunabuli,275
1989,Chifunabuli,275
1990,Chifunabuli,275
1991,Chifunabuli,273.16803
1992,Chifunabuli,275
1993,Chifunabuli,275
1994,Chifunabuli,275
1995,Chifunabuli,275
1996,Chifunabuli,275
1997,Chifunabuli,275
1998,Chifunabuli,275
1999,Chifunabuli,275
2000,Chifunabuli,275
2001,Chifunabuli,275
2002,Chifunabuli,275
2003,Chifunabuli,275
2004,Chifunabuli,275
2005,Chifunabuli,275
2006,Chifunabuli,275
2007,Chifunabuli,275
2008,Chifunabuli,275
2009,Chifunabuli,275
2010,Chifunabuli,275
2011,Chifunabuli,275
2012,Chifunabuli,275
2013,Chifunabuli,275
2014,Chifunabuli,275
2015,Chifunabuli,275
2016,Chifunabuli,275
2017,Chifunabuli,275
2018,Chifunabuli,275
2019,Chifunabuli,275
1981,Chipili,274.33218
1982,Chipili,270.02406
1983,Chipili,275
1984,Chipili,275
1985,Chipili,275
1986,Chipili,275
1987,Chipili,275
1988,Chipili,275
1989,Chipili,275
1990,Chipili,275
1991,Chipili,275
1992,Chipili,275
1993,Chipili,275
1994,Chipili,275
1995,Chipili,275
1996,Chipili,275
1997,Chipili,275
1998,Chipili,275
1999,Chipili,275
2000,Chipili,275
2001,Chipili,275
2002,Chipili,271.97423
2003,Chipili,275
2004,Chipili,275
2005,Chipili,275
2006,Chipili,275
2007,Chipili,275
2008,Chipili,275
2009,Chipili,275
2010,Chipili,275
2011,Chipili,275
2012,Chipili,275
2013,Chipili,275
2014,Chipili,275
2015,Chipili,275
2016,Chipili,275
2017,Chipili,275
2018,Chipili,275
2019,Chipili,275
1981,Kawambwa,275
1982,Kawambwa,275
1983,Kawambwa,275
1984,Kawambwa,275
1985,Kawambwa,275
1986,Kawambwa,275
1987,Kawambwa,275
1988,Kawambwa,268.26622
1989,Kawambwa,275
1990,Kawambwa,275
1991,Kawambwa,275
1992,Kawambwa,275
1993,Kawambwa,275
1994,Kawambwa,275
1995,Kawambwa,275
1996,Kawambwa,275
1997,Kawambwa,275
1998,Kawambwa,275
1999,Kawambwa,275
2000,Kawambwa,275
2001,Kawambwa,275
2002,Kawambwa,264.62399
2003,Kawambwa,275
2004,Kawambwa,275
2005,Kawambwa,275
2006,Kawambwa,275
2007,Kawambwa,275
2008,Kawambwa,275
2009,Kawambwa,275
2010,Kawambwa,275
2011,Kawambwa,275
2012,Kawambwa,275
2013,Kawambwa,275
2014,Kawambwa,275
2015,Kawambwa,275
2016,Kawambwa,275
2017,Kawambwa,275
2018,Kawambwa,275
2019,Kawambwa,275
1981,Lunga,261.78061
1982,Lunga,259.95104
1983,Lunga,275
1984,Lunga,275
1985,Lunga,275
1986,Lunga,275
1987,Lunga,275
1988,Lunga,275
1989,Lunga,261.86034
1990,Lunga,275
1991,Lunga,274.76888
1992,Lunga,275
1993,Lunga,275
1994,Lunga,275
1995,Lunga,275
1996,Lunga,275
1997,Lunga,275
1998,Lunga,275
1999,Lunga,275
2000,Lunga,275
2001,Lunga,275
2002,Lunga,275
2003,Lunga,275
2004,Lunga,275
2005,Lunga,275
2006,Lunga,275
2007,Lunga,275
2008,Lunga,275
2009,Lunga,275
2010,Lunga,275
2011,Lunga,275
2012,Lunga,275
2013,Lunga,275
2014,Lunga,275
2015,Lunga,275
2016,Lunga,275
2017,Lunga,275
2018,Lunga,275
2019,Lunga,275
1981,Mansa,266.96618
1982,Mansa,267.69004
1983,Mansa,275
1984,Mansa,275
1985,Mansa,275
1986,Mansa,275
1987,Mansa,275
1988,Mansa,275
1989,Mansa,263.67284
1990,Mansa,275
1991,Mansa,275
1992,Mansa,275
1993,Mansa,275
1994,Mansa,275
1995,Mansa,275
1996,Mansa,275
1997,Mansa,275
1998,Mansa,275
1999,Mansa,275
2000,Mansa,275
2001,Mansa,275
2002,Mansa,275
2003,Mansa,275
2004,Mansa,275
2005,Mansa,275
2006,Mansa,274.82108
2007,Mansa,271.45767
2008,Mansa,275
2009,Mansa,275
2010,Mansa,275
2011,Mansa,275
2012,Mansa,275
2013,Mansa,275
2014,Mansa,263.93087
2015,Mansa,275
2016,Mansa,275
2017,Mansa,275
2018,Mansa,275
2019,Mansa,275
1981,Milengi,262.20879
1982,Milengi,268.47738
1983,Milengi,275
1984,Milengi,275
1985,Milengi,275
1986,Milengi,275
1987,Milengi,266.48874
1988,Milengi,275
1989,Milengi,265.10517
1990,Milengi,275
1991,Milengi,275
1992,Milengi,275
1993,Milengi,275
1994,Milengi,275
1995,Milengi,275
1996,Milengi,275
1997,Milengi,268.82101
1998,Milengi,275
1999,Milengi,275
2000,Milengi,275
2001,Milengi,275
2002,Milengi,275
2003,Milengi,275
2004,Milengi,275
2005,Milengi,275
2006,Milengi,275
2007,Milengi,269.87711
2008,Milengi,275
2009,Milengi,275
2010,Milengi,275
2011,Milengi,275
2012,Milengi,275
2013,Milengi,275
2014,Milengi,271.43368
2015,Milengi,275
2016,Milengi,274.37046
2017,Milengi,275
2018,Milengi,275
2019,Milengi,275
1981,Mwansabombwe,275
1982,Mwansabombwe,275
1983,Mwansabombwe,275
1984,Mwansabombwe,275
1985,Mwansabombwe,275
1986,Mwansabombwe,273.1159
1987,Mwansabombwe,275
1988,Mwansabombwe,270.8674
1989,Mwansabombwe,275
1990,Mwansabombwe,275
1991,Mwansabombwe,275
1992,Mwansabombwe,275
1993,Mwansabombwe,275
1994,Mwansabombwe,275
1995,Mwansabombwe,275
1996,Mwansabombwe,275
1997,Mwansabombwe,275
1998,Mwansabombwe,275
1999,Mwansabombwe,275
2000,Mwansabombwe,275
2001,Mwansabombwe,275
2002,Mwansabombwe,265.35778
2003,Mwansabombwe,275
2004,Mwansabombwe,275
2005,Mwansabombwe,275
2006,Mwansabombwe,275
2007,Mwansabombwe,275
2008,Mwansabombwe,275
2009,Mwansabombwe,275
2010,Mwansabombwe,275
2011,Mwansabombwe,275
2012,Mwansabombwe,275
2013,Mwansabombwe,275
2014,Mwansabombwe,275
2015,Mwansabombwe,275
2016,Mwansabombwe,275
2017,Mwansabombwe,275
2018,Mwansabombwe,275
2019,Mwansabombwe,275
1981,Mwense,272.88552
1982,Mwense,267.39659
1983,Mwense,275
1984,Mwense,275
1985,Mwense,275
1986,Mwense,275
1987,Mwense,275
1988,Mwense,275
1989,Mwense,275
1990,Mwense,275
1991,Mwense,275
1992,Mwense,275
1993,Mwense,275
1994,Mwense,275
1995,Mwense,275
1996,Mwense,275
1997,Mwense,275
1998,Mwense,275
1999,Mwense,275
2000,Mwense,275
2001,Mwense,275
2002,Mwense,272.32781
2003,Mwense,275
2004,Mwense,275
2005,Mwense,275
2006,Mwense,275
2007,Mwense,275
2008,Mwense,275
2009,Mwense,275
2010,Mwense,275
2011,Mwense,275
2012,Mwense,275
2013,Mwense,275
2014,Mwense,275
2015,Mwense,275
2016,Mwense,275
2017,Mwense,275
2018,Mwense,275
2019,Mwense,275
1981,Nchelenge,275
1982,Nchelenge,275
1983,Nchelenge,275
1984,Nchelenge,275
1985,Nchelenge,275
1986,Nchelenge,275
1987,Nchelenge,275
1988,Nchelenge,261.60586
1989,Nchelenge,275
1990,Nchelenge,275
1991,Nchelenge,275
1992,Nchelenge,275
1993,Nchelenge,275
1994,Nchelenge,275
1995,Nchelenge,275
1996,Nchelenge,275
1997,Nchelenge,275
1998,Nchelenge,272.25722
1999,Nchelenge,275
2000,Nchelenge,275
2001,Nchelenge,275
2002,Nchelenge,258.16761
2003,Nchelenge,275
2004,Nchelenge,275
2005,Nchelenge,275
2006,Nchelenge,275
2007,Nchelenge,275
2008,Nchelenge,275
2009,Nchelenge,275
2010,Nchelenge,275
2011,Nchelenge,275
2012,Nchelenge,275
2013,Nchelenge,275
2014,Nchelenge,275
2015,Nchelenge,275
2016,Nchelenge,275
2017,Nchelenge,275
2018,Nchelenge,275
2019,Nchelenge,275
1981,Samfya,261.0238
1982,Samfya,264.70743
1983,Samfya,275
1984,Samfya,275
1985,Samfya,275
1986,Samfya,275
1987,Samfya,275
1988,Samfya,275
1989,Samfya,265.26911
1990,Samfya,275
1991,Samfya,274.56009
1992,Samfya,275
1993,Samfya,275
1994,Samfya,275
1995,Samfya,275
1996,Samfya,275
1997,Samfya,275
1998,Samfya,275
1999,Samfya,275
2000,Samfya,275
2001,Samfya,275
2002,Samfya,275
2003,Samfya,275
2004,Samfya,275
2005,Samfya,275
2006,Samfya,275
2007,Samfya,275
2008,Samfya,275
2009,Samfya,275
2010,Samfya,275
2011,Samfya,275
2012,Samfya,275
2013,Samfya,275
2014,Samfya,273.33219
2015,Samfya,275
2016,Samfya,275
2017,Samfya,275
2018,Samfya,275
2019,Samfya,275
1981,Chilanga,192.84157
1982,Chilanga,232.45888
1983,Chilanga,264.80596
1984,Chilanga,257.005536
1985,Chilanga,271.15073
1986,Chilanga,228.959373
1987,Chilanga,244.387178
1988,Chilanga,272.46894
1989,Chilanga,233.877198
1990,Chilanga,250.53989
1991,Chilanga,234.523059
1992,Chilanga,253.394547
1993,Chilanga,183.20894
1994,Chilanga,224.481395
1995,Chilanga,237.50764
1996,Chilanga,257.913937
1997,Chilanga,242.364709
1998,Chilanga,255.52495
1999,Chilanga,269.65263
2000,Chilanga,271.78428
2001,Chilanga,211.375566
2002,Chilanga,274.63421
2003,Chilanga,228.723438
2004,Chilanga,208.916266
2005,Chilanga,258.174736
2006,Chilanga,249.409484
2007,Chilanga,234.808104
2008,Chilanga,258.133544
2009,Chilanga,257.791761
2010,Chilanga,256.78462
2011,Chilanga,263.92193
2012,Chilanga,222.61274
2013,Chilanga,239.063103
2014,Chilanga,248.205823
2015,Chilanga,257.105
2016,Chilanga,244.270545
2017,Chilanga,237.18001
2018,Chilanga,198.35425
2019,Chilanga,215.015191
1981,Chirundu,195.234969
1982,Chirundu,218.1686
1983,Chirundu,259.85656
1984,Chirundu,249.613167
1985,Chirundu,269.31049
1986,Chirundu,213.730347
1987,Chirundu,242.923962
1988,Chirundu,263.31394
1989,Chirundu,224.755158
1990,Chirundu,242.624714
1991,Chirundu,245.42187
1992,Chirundu,243.720245
1993,Chirundu,187.282
1994,Chirundu,193.302021
1995,Chirundu,231.858201
1996,Chirundu,236.470797
1997,Chirundu,227.63356
1998,Chirundu,258.70573
1999,Chirundu,251.91691
2000,Chirundu,275
2001,Chirundu,198.090851
2002,Chirundu,263.15325
2003,Chirundu,226.987465
2004,Chirundu,189.7555
2005,Chirundu,268.87968
2006,Chirundu,240.64609
2007,Chirundu,227.883218
2008,Chirundu,229.063514
2009,Chirundu,256.376184
2010,Chirundu,245.13637
2011,Chirundu,262.54463
2012,Chirundu,225.433561
2013,Chirundu,248.200329
2014,Chirundu,250.526427
2015,Chirundu,250.460276
2016,Chirundu,254.750287
2017,Chirundu,234.08054
2018,Chirundu,189.372299
2019,Chirundu,193.362394
1981,Chongwe,208.150834
1982,Chongwe,226.49606
1983,Chongwe,258.58809
1984,Chongwe,249.51638
1985,Chongwe,273.62876
1986,Chongwe,225.76235
1987,Chongwe,240.787765
1988,Chongwe,275
1989,Chongwe,238.103068
1990,Chongwe,248.27754
1991,Chongwe,244.04357
1992,Chongwe,258.73562
1993,Chongwe,186.904327
1994,Chongwe,218.151486
1995,Chongwe,234.629269
1996,Chongwe,250.438756
1997,Chongwe,233.777525
1998,Chongwe,246.80789
1999,Chongwe,264.2411
2000,Chongwe,275
2001,Chongwe,209.125911
2002,Chongwe,259.57138
2003,Chongwe,225.640855
2004,Chongwe,216.035845
2005,Chongwe,275
2006,Chongwe,244.685947
2007,Chongwe,228.297475
2008,Chongwe,256.798441
2009,Chongwe,258.366164
2010,Chongwe,244.36506
2011,Chongwe,264.76135
2012,Chongwe,236.671031
2013,Chongwe,244.421629
2014,Chongwe,250.696598
2015,Chongwe,263.52234
2016,Chongwe,246.85634
2017,Chongwe,241.83047
2018,Chongwe,212.483222
2019,Chongwe,205.98175
1981,Kafue,201.461285
1982,Kafue,226.281546
1983,Kafue,265.18372
1984,Kafue,254.077745
1985,Kafue,275
1986,Kafue,227.193168
1987,Kafue,246.630793
1988,Kafue,275
1989,Kafue,237.59806
1990,Kafue,247.88378
1991,Kafue,249.23035
1992,Kafue,259.022081
1993,Kafue,194.124865
1994,Kafue,218.717931
1995,Kafue,237.849291
1996,Kafue,246.064829
1997,Kafue,235.959142
1998,Kafue,247.47518
1999,Kafue,255.74525
2000,Kafue,275
2001,Kafue,218.339329
2002,Kafue,270.91912
2003,Kafue,227.222767
2004,Kafue,200.534279
2005,Kafue,273.02283
2006,Kafue,243.810759
2007,Kafue,233.703764
2008,Kafue,256.93607
2009,Kafue,253.84782
2010,Kafue,248.73624
2011,Kafue,263.29292
2012,Kafue,231.329834
2013,Kafue,249.122095
2014,Kafue,250.540311
2015,Kafue,257.78843
2016,Kafue,254.873889
2017,Kafue,237.843666
2018,Kafue,202.826037
2019,Kafue,207.20156
1981,Luangwa,204.371286
1982,Luangwa,220.552828
1983,Luangwa,264.49577
1984,Luangwa,246.988634
1985,Luangwa,262.58389
1986,Luangwa,181.329014
1987,Luangwa,248.779852
1988,Luangwa,267.13667
1989,Luangwa,248.45238
1990,Luangwa,245.63296
1991,Luangwa,212.238724
1992,Luangwa,254.82244
1993,Luangwa,182.586322
1994,Luangwa,239.912082
1995,Luangwa,244.23404
1996,Luangwa,238.882472
1997,Luangwa,228.238304
1998,Luangwa,250.95993
1999,Luangwa,267.9473
2000,Luangwa,275
2001,Luangwa,195.888783
2002,Luangwa,266.90961
2003,Luangwa,218.515603
2004,Luangwa,187.616681
2005,Luangwa,269.12721
2006,Luangwa,257.762934
2007,Luangwa,218.25897
2008,Luangwa,269.41187
2009,Luangwa,256.43673
2010,Luangwa,214.854631
2011,Luangwa,255.460993
2012,Luangwa,248.007599
2013,Luangwa,254.029895
2014,Luangwa,254.897223
2015,Luangwa,240.055748
2016,Luangwa,256.805745
2017,Luangwa,234.031999
2018,Luangwa,212.340278
2019,Luangwa,204.496889
1981,Lusaka,193.430991
1982,Lusaka,231.170592
1983,Lusaka,265.82573
1984,Lusaka,252.332829
1985,Lusaka,271.28914
1986,Lusaka,226.985771
1987,Lusaka,237.954535
1988,Lusaka,270.75348
1989,Lusaka,234.824097
1990,Lusaka,248.09474
1991,Lusaka,240.236608
1992,Lusaka,259.746234
1993,Lusaka,181.490289
1994,Lusaka,216.546826
1995,Lusaka,234.195388
1996,Lusaka,250.030229
1997,Lusaka,239.114057
1998,Lusaka,248.183719
1999,Lusaka,263.87666
2000,Lusaka,274.33222
2001,Lusaka,205.696022
2002,Lusaka,264.51781
2003,Lusaka,225.328169
2004,Lusaka,206.35283
2005,Lusaka,261.19546
2006,Lusaka,245.663112
2007,Lusaka,233.476941
2008,Lusaka,257.052977
2009,Lusaka,258.517599
2010,Lusaka,254.43372
2011,Lusaka,259.33553
2012,Lusaka,227.170004
2013,Lusaka,235.917033
2014,Lusaka,248.799844
2015,Lusaka,258.62954
2016,Lusaka,244.009111
2017,Lusaka,234.266307
2018,Lusaka,196.39929
2019,Lusaka,207.235863
1981,Rufunsa,204.006515
1982,Rufunsa,218.907971
1983,Rufunsa,267.38552
1984,Rufunsa,250.17172
1985,Rufunsa,265.49777
1986,Rufunsa,206.098592
1987,Rufunsa,248.796478
1988,Rufunsa,269.63424
1989,Rufunsa,246.26984
1990,Rufunsa,242.0974
1991,Rufunsa,235.269498
1992,Rufunsa,261.83713
1993,Rufunsa,190.146785
1994,Rufunsa,240.116863
1995,Rufunsa,248.000558
1996,Rufunsa,251.555787
1997,Rufunsa,244.163517
1998,Rufunsa,255.36128
1999,Rufunsa,275
2000,Rufunsa,275
2001,Rufunsa,200.187679
2002,Rufunsa,271.92798
2003,Rufunsa,222.665807
2004,Rufunsa,203.215045
2005,Rufunsa,275
2006,Rufunsa,251.307704
2007,Rufunsa,229.198967
2008,Rufunsa,267.71936
2009,Rufunsa,262.14213
2010,Rufunsa,229.685825
2011,Rufunsa,260.49532
2012,Rufunsa,245.227238
2013,Rufunsa,250.249926
2014,Rufunsa,253.404153
2015,Rufunsa,273.04997
2016,Rufunsa,254.844062
2017,Rufunsa,239.254825
2018,Rufunsa,219.086763
2019,Rufunsa,207.106758
1981,Shibuyunji,201.664623
1982,Shibuyunji,238.975787
1983,Shibuyunji,258.37952
1984,Shibuyunji,256.201102
1985,Shibuyunji,263.92775
1986,Shibuyunji,252.519755
1987,Shibuyunji,247.063295
1988,Shibuyunji,272.33132
1989,Shibuyunji,237.978869
1990,Shibuyunji,245.840947
1991,Shibuyunji,231.588774
1992,Shibuyunji,252.68494
1993,Shibuyunji,190.512822
1994,Shibuyunji,223.361926
1995,Shibuyunji,231.597767
1996,Shibuyunji,245.278579
1997,Shibuyunji,231.920265
1998,Shibuyunji,245.55928
1999,Shibuyunji,268.19331
2000,Shibuyunji,275
2001,Shibuyunji,199.754636
2002,Shibuyunji,273.76292
2003,Shibuyunji,235.574661
2004,Shibuyunji,202.895166
2005,Shibuyunji,258.330549
2006,Shibuyunji,252.42922
2007,Shibuyunji,235.524914
2008,Shibuyunji,253.60527
2009,Shibuyunji,254.852022
2010,Shibuyunji,256.78327
2011,Shibuyunji,259.4099
2012,Shibuyunji,216.788825
2013,Shibuyunji,235.609255
2014,Shibuyunji,248.835428
2015,Shibuyunji,257.44205
2016,Shibuyunji,241.512986
2017,Shibuyunji,239.78954
2018,Shibuyunji,201.504854
2019,Shibuyunji,227.362602
1981,Chama,263.50621
1982,Chama,257.56487
1983,Chama,275
1984,Chama,275
1985,Chama,271.2795
1986,Chama,275
1987,Chama,275
1988,Chama,275
1989,Chama,254.571304
1990,Chama,273.42837
1991,Chama,275
1992,Chama,275
1993,Chama,275
1994,Chama,271.70387
1995,Chama,275
1996,Chama,273.52138
1997,Chama,273.55339
1998,Chama,267.7131
1999,Chama,270.93285
2000,Chama,275
2001,Chama,270.6113
2002,Chama,267.63188
2003,Chama,263.77733
2004,Chama,267.92892
2005,Chama,275
2006,Chama,271.31422
2007,Chama,270.40824
2008,Chama,275
2009,Chama,275
2010,Chama,275
2011,Chama,275
2012,Chama,275
2013,Chama,275
2014,Chama,262.29924
2015,Chama,275
2016,Chama,272.7335
2017,Chama,275
2018,Chama,275
2019,Chama,275
1981,Chinsali,257.274619
1982,Chinsali,264.1255
1983,Chinsali,275
1984,Chinsali,275
