gid,year,mean,rank,district,Zone,Kwilu,Country
7,2015,1.689179699,9,Bugna, North Wollo,Amhara, Ethiopia
7,2009,1.70904435,8,Bugna, North Wollo,Amhara, Ethiopia
7,1987,1.765270121,7,Bugna, North Wollo,Amhara, Ethiopia
7,1983,1.869581326,6,Bugna, North Wollo,Amhara, Ethiopia
7,1985,1.898235799,5,Bugna, North Wollo,Amhara, Ethiopia
7,1982,1.968787237,4,Bugna, North Wollo,Amhara, Ethiopia
7,1990,1.986948381,3,Bugna, North Wollo,Amhara, Ethiopia
7,2004,2.079296005,2,Bugna, North Wollo,Amhara, Ethiopia
7,1981,2.167212075,1,Bugna, North Wollo,Amhara, Ethiopia
8,2009,2.900614234,10,Fogera, South Gonder,Amhara, Ethiopia
8,1984,2.930238234,9,Fogera, South Gonder,Amhara, Ethiopia
8,2004,3.027504785,8,Fogera, South Gonder,Amhara, Ethiopia
8,1990,3.03912238,7,Fogera, South Gonder,Amhara, Ethiopia
8,1987,3.062292693,6,Fogera, South Gonder,Amhara, Ethiopia
8,1982,3.124344501,5,Fogera, South Gonder,Amhara, Ethiopia
8,2002,3.190323851,4,Fogera, South Gonder,Amhara, Ethiopia
8,1995,3.211261739,3,Fogera, South Gonder,Amhara, Ethiopia
8,2015,3.283533845,2,Fogera, South Gonder,Amhara, Ethiopia
8,1985,3.287706864,1,Fogera, South Gonder,Amhara, Ethiopia
9,1987,2.189860938,10,Kemekem, South Gonder,Amhara, Ethiopia
9,1984,2.201984155,9,Kemekem, South Gonder,Amhara, Ethiopia
9,2009,2.256984052,8,Kemekem, South Gonder,Amhara, Ethiopia
9,1990,2.286682745,7,Kemekem, South Gonder,Amhara, Ethiopia
9,1982,2.297137122,6,Kemekem, South Gonder,Amhara, Ethiopia
9,2004,2.375469887,5,Kemekem, South Gonder,Amhara, Ethiopia
9,1983,2.394647336,4,Kemekem, South Gonder,Amhara, Ethiopia
9,1995,2.43156216,3,Kemekem, South Gonder,Amhara, Ethiopia
9,2002,2.454648073,2,Kemekem, South Gonder,Amhara, Ethiopia
9,2015,2.472752934,1,Kemekem, South Gonder,Amhara, Ethiopia
10,1984,1.832594022,10,Lay Gayint, South Gonder,Amhara, Ethiopia
10,2009,1.982767051,9,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1987,2.090238041,8,Lay Gayint, South Gonder,Amhara, Ethiopia
10,2015,2.174778294,7,Lay Gayint, South Gonder,Amhara, Ethiopia
10,2004,2.271065658,6,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1990,2.330277007,5,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1983,2.377387956,4,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1985,2.417454221,3,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1982,2.459539637,2,Lay Gayint, South Gonder,Amhara, Ethiopia
10,2002,2.463637273,1,Lay Gayint, South Gonder,Amhara, Ethiopia
11,1984,2.024847732,10,Simada, South Gonder,Amhara, Ethiopia
11,2015,2.171509922,9,Simada, South Gonder,Amhara, Ethiopia
11,2009,2.24168707,8,Simada, South Gonder,Amhara, Ethiopia
11,2004,2.253918197,7,Simada, South Gonder,Amhara, Ethiopia
11,1987,2.254470619,6,Simada, South Gonder,Amhara, Ethiopia
11,1990,2.330680828,5,Simada, South Gonder,Amhara, Ethiopia
11,2002,2.377140758,4,Simada, South Gonder,Amhara, Ethiopia
11,1989,2.438279266,3,Simada, South Gonder,Amhara, Ethiopia
11,1985,2.470044682,2,Simada, South Gonder,Amhara, Ethiopia
11,1995,2.559540666,1,Simada, South Gonder,Amhara, Ethiopia
12,1984,1.700610325,10,Tach Gayint, South Gonder,Amhara, Ethiopia
12,2009,1.896781373,9,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1987,1.964757338,8,Tach Gayint, South Gonder,Amhara, Ethiopia
12,2015,1.974944754,7,Tach Gayint, South Gonder,Amhara, Ethiopia
12,2004,2.056570113,6,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1990,2.174825099,5,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1985,2.208718579,4,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1989,2.245487991,3,Tach Gayint, South Gonder,Amhara, Ethiopia
12,2002,2.278019357,2,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1982,2.288824321,1,Tach Gayint, South Gonder,Amhara, Ethiopia
13,1984,1.653875363,10,Amba Sel, South Wollo,Amhara, Ethiopia
13,2015,1.909416956,9,Amba Sel, South Wollo,Amhara, Ethiopia
13,2004,2.278577281,8,Amba Sel, South Wollo,Amhara, Ethiopia
13,2009,2.310424009,7,Amba Sel, South Wollo,Amhara, Ethiopia
13,2008,2.311148568,6,Amba Sel, South Wollo,Amhara, Ethiopia
13,1990,2.350926951,5,Amba Sel, South Wollo,Amhara, Ethiopia
13,2011,2.39145179,4,Amba Sel, South Wollo,Amhara, Ethiopia
13,1987,2.391839437,3,Amba Sel, South Wollo,Amhara, Ethiopia
13,1991,2.394502103,2,Amba Sel, South Wollo,Amhara, Ethiopia
13,1985,2.411974665,1,Amba Sel, South Wollo,Amhara, Ethiopia
14,2015,1.89250784,10,Debre Sina, South Wollo,Amhara, Ethiopia
14,1984,2.096645928,9,Debre Sina, South Wollo,Amhara, Ethiopia
14,1991,2.253298962,8,Debre Sina, South Wollo,Amhara, Ethiopia
14,1992,2.293070471,7,Debre Sina, South Wollo,Amhara, Ethiopia
14,2002,2.320663072,6,Debre Sina, South Wollo,Amhara, Ethiopia
14,1987,2.346332105,5,Debre Sina, South Wollo,Amhara, Ethiopia
14,2004,2.37036431,4,Debre Sina, South Wollo,Amhara, Ethiopia
14,1995,2.469957135,3,Debre Sina, South Wollo,Amhara, Ethiopia
14,2003,2.495666268,2,Debre Sina, South Wollo,Amhara, Ethiopia
14,1990,2.498723808,1,Debre Sina, South Wollo,Amhara, Ethiopia
16,1984,1.810374852,10,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,2015,2.061472356,9,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,2011,2.50589401,8,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,2008,2.506692222,7,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,2004,2.58129144,6,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,1987,2.598820464,5,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,2002,2.650181255,4,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,1991,2.654770734,3,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,1990,2.683282108,2,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,2009,2.708054969,1,Dessie Zuria, South Wollo,Amhara, Ethiopia
17,2015,1.637940673,10,Jama, South Wollo,Amhara, Ethiopia
17,1984,1.696340923,9,Jama, South Wollo,Amhara, Ethiopia
17,2002,2.11189609,8,Jama, South Wollo,Amhara, Ethiopia
17,1992,2.147862482,7,Jama, South Wollo,Amhara, Ethiopia
17,1991,2.181886758,6,Jama, South Wollo,Amhara, Ethiopia
17,2014,2.191964605,5,Jama, South Wollo,Amhara, Ethiopia
17,2011,2.216636732,4,Jama, South Wollo,Amhara, Ethiopia
17,1987,2.239676124,3,Jama, South Wollo,Amhara, Ethiopia
