gid,year,mean,rank,district,Zone,Kwilu,Country
187,1984,3.306524113,6,Yaso, Kemashi, Benshangul-Gumaz, Ethiopia
187,1992,3.372186714,5,Yaso, Kemashi, Benshangul-Gumaz, Ethiopia
187,1995,3.376282739,4,Yaso, Kemashi, Benshangul-Gumaz, Ethiopia
187,1982,3.376392918,3,Yaso, Kemashi, Benshangul-Gumaz, Ethiopia
187,2011,3.414661958,2,Yaso, Kemashi, Benshangul-Gumaz, Ethiopia
187,1991,3.452669848,1,Yaso, Kemashi, Benshangul-Gumaz, Ethiopia
188,2002,3.206183708,10,Bulen, Metekel, Benshangul-Gumaz, Ethiopia
188,2009,3.292243821,9,Bulen, Metekel, Benshangul-Gumaz, Ethiopia
188,1984,3.300079931,8,Bulen, Metekel, Benshangul-Gumaz, Ethiopia
188,1986,3.356053465,7,Bulen, Metekel, Benshangul-Gumaz, Ethiopia
188,2011,3.386888695,6,Bulen, Metekel, Benshangul-Gumaz, Ethiopia
188,2001,3.506378837,5,Bulen, Metekel, Benshangul-Gumaz, Ethiopia
188,2003,3.513860346,4,Bulen, Metekel, Benshangul-Gumaz, Ethiopia
188,1992,3.550298727,3,Bulen, Metekel, Benshangul-Gumaz, Ethiopia
188,1994,3.558025728,2,Bulen, Metekel, Benshangul-Gumaz, Ethiopia
188,1991,3.558142777,1,Bulen, Metekel, Benshangul-Gumaz, Ethiopia
189,2009,3.012089704,10,Dangur, Metekel, Benshangul-Gumaz, Ethiopia
189,2002,3.021914849,9,Dangur, Metekel, Benshangul-Gumaz, Ethiopia
189,1986,3.0344282,8,Dangur, Metekel, Benshangul-Gumaz, Ethiopia
189,1984,3.041945284,7,Dangur, Metekel, Benshangul-Gumaz, Ethiopia
189,1982,3.077123303,6,Dangur, Metekel, Benshangul-Gumaz, Ethiopia
189,1994,3.173594916,5,Dangur, Metekel, Benshangul-Gumaz, Ethiopia
189,2011,3.220072811,4,Dangur, Metekel, Benshangul-Gumaz, Ethiopia
189,1992,3.263009779,3,Dangur, Metekel, Benshangul-Gumaz, Ethiopia
189,1983,3.308698568,2,Dangur, Metekel, Benshangul-Gumaz, Ethiopia
189,2004,3.330815705,1,Dangur, Metekel, Benshangul-Gumaz, Ethiopia
190,2002,3.275933304,10,Dibate, Metekel, Benshangul-Gumaz, Ethiopia
190,2009,3.36603783,9,Dibate, Metekel, Benshangul-Gumaz, Ethiopia
190,1984,3.502790929,8,Dibate, Metekel, Benshangul-Gumaz, Ethiopia
190,2011,3.508418616,7,Dibate, Metekel, Benshangul-Gumaz, Ethiopia
190,1986,3.528313076,6,Dibate, Metekel, Benshangul-Gumaz, Ethiopia
190,2003,3.570383856,5,Dibate, Metekel, Benshangul-Gumaz, Ethiopia
190,1991,3.667149387,4,Dibate, Metekel, Benshangul-Gumaz, Ethiopia
190,2001,3.66864318,3,Dibate, Metekel, Benshangul-Gumaz, Ethiopia
190,1992,3.712885219,2,Dibate, Metekel, Benshangul-Gumaz, Ethiopia
190,1982,3.72257783,1,Dibate, Metekel, Benshangul-Gumaz, Ethiopia
191,1986,2.29854335,10,Guba, Metekel, Benshangul-Gumaz, Ethiopia
191,2009,2.488611065,9,Guba, Metekel, Benshangul-Gumaz, Ethiopia
191,2002,2.510353249,8,Guba, Metekel, Benshangul-Gumaz, Ethiopia
191,1992,2.523630142,7,Guba, Metekel, Benshangul-Gumaz, Ethiopia
191,1982,2.529387447,6,Guba, Metekel, Benshangul-Gumaz, Ethiopia
191,1984,2.577754748,5,Guba, Metekel, Benshangul-Gumaz, Ethiopia
191,1990,2.61878694,4,Guba, Metekel, Benshangul-Gumaz, Ethiopia
191,1983,2.633603282,3,Guba, Metekel, Benshangul-Gumaz, Ethiopia
191,1995,2.65451982,2,Guba, Metekel, Benshangul-Gumaz, Ethiopia
191,1987,2.719401108,1,Guba, Metekel, Benshangul-Gumaz, Ethiopia
192,2009,3.777681393,10,Mandura, Metekel, Benshangul-Gumaz, Ethiopia
192,2002,3.788479375,9,Mandura, Metekel, Benshangul-Gumaz, Ethiopia
192,2003,3.948901945,8,Mandura, Metekel, Benshangul-Gumaz, Ethiopia
192,1984,4.064802866,7,Mandura, Metekel, Benshangul-Gumaz, Ethiopia
192,1986,4.079332393,6,Mandura, Metekel, Benshangul-Gumaz, Ethiopia
192,2011,4.080921922,5,Mandura, Metekel, Benshangul-Gumaz, Ethiopia
192,1994,4.081208648,4,Mandura, Metekel, Benshangul-Gumaz, Ethiopia
192,2005,4.196274561,3,Mandura, Metekel, Benshangul-Gumaz, Ethiopia
192,2001,4.243606756,2,Mandura, Metekel, Benshangul-Gumaz, Ethiopia
192,2007,4.28463764,1,Mandura, Metekel, Benshangul-Gumaz, Ethiopia
193,2009,3.599566215,10,Pawe, Metekel, Benshangul-Gumaz, Ethiopia
193,2002,3.673603688,9,Pawe, Metekel, Benshangul-Gumaz, Ethiopia
193,1994,3.862001931,8,Pawe, Metekel, Benshangul-Gumaz, Ethiopia
193,2003,3.875366781,7,Pawe, Metekel, Benshangul-Gumaz, Ethiopia
193,1984,3.876808722,6,Pawe, Metekel, Benshangul-Gumaz, Ethiopia
193,1982,3.944544279,5,Pawe, Metekel, Benshangul-Gumaz, Ethiopia
193,2011,3.949297523,4,Pawe, Metekel, Benshangul-Gumaz, Ethiopia
193,1986,4.007458045,3,Pawe, Metekel, Benshangul-Gumaz, Ethiopia
193,1983,4.068813787,2,Pawe, Metekel, Benshangul-Gumaz, Ethiopia
193,1990,4.134384464,1,Pawe, Metekel, Benshangul-Gumaz, Ethiopia
194,1984,2.772810713,10,Wembera, Metekel, Benshangul-Gumaz, Ethiopia
194,1986,2.808064479,9,Wembera, Metekel, Benshangul-Gumaz, Ethiopia
194,2002,2.844634785,8,Wembera, Metekel, Benshangul-Gumaz, Ethiopia
194,1992,2.90085973,7,Wembera, Metekel, Benshangul-Gumaz, Ethiopia
194,2009,2.932215339,6,Wembera, Metekel, Benshangul-Gumaz, Ethiopia
194,1982,3.008710848,5,Wembera, Metekel, Benshangul-Gumaz, Ethiopia
194,1994,3.036478816,4,Wembera, Metekel, Benshangul-Gumaz, Ethiopia
194,2001,3.058491469,3,Wembera, Metekel, Benshangul-Gumaz, Ethiopia
194,2011,3.091086663,2,Wembera, Metekel, Benshangul-Gumaz, Ethiopia
194,1995,3.123305823,1,Wembera, Metekel, Benshangul-Gumaz, Ethiopia
195,2015,1.012382648,10,Dire Dawa, Dire Dawa, Dire Dawa, Ethiopia
195,1984,1.105172831,9,Dire Dawa, Dire Dawa, Dire Dawa, Ethiopia
195,2012,1.505002139,8,Dire Dawa, Dire Dawa, Dire Dawa, Ethiopia
195,2011,1.525727157,7,Dire Dawa, Dire Dawa, Dire Dawa, Ethiopia
195,1991,1.541028654,6,Dire Dawa, Dire Dawa, Dire Dawa, Ethiopia
195,2000,1.606113474,5,Dire Dawa, Dire Dawa, Dire Dawa, Ethiopia
195,2008,1.606754553,4,Dire Dawa, Dire Dawa, Dire Dawa, Ethiopia
195,2017,1.630374771,3,Dire Dawa, Dire Dawa, Dire Dawa, Ethiopia
195,2009,1.63045807,2,Dire Dawa, Dire Dawa, Dire Dawa, Ethiopia
195,2002,1.641757117,1,Dire Dawa, Dire Dawa, Dire Dawa, Ethiopia
196,2009,1.865139224,10,Akobo, Zone 1, Gambela Peoples, Ethiopia
196,1993,1.867540321,9,Akobo, Zone 1, Gambela Peoples, Ethiopia
196,1984,2.018555301,8,Akobo, Zone 1, Gambela Peoples, Ethiopia
196,1987,2.025925903,7,Akobo, Zone 1, Gambela Peoples, Ethiopia
196,2002,2.091700265,6,Akobo, Zone 1, Gambela Peoples, Ethiopia
196,1986,2.107260968,5,Akobo, Zone 1, Gambela Peoples, Ethiopia
196,1982,2.184715219,4,Akobo, Zone 1, Gambela Peoples, Ethiopia
196,1997,2.200337513,3,Akobo, Zone 1, Gambela Peoples, Ethiopia
196,2005,2.231673295,2,Akobo, Zone 1, Gambela Peoples, Ethiopia
196,1990,2.25884588,1,Akobo, Zone 1, Gambela Peoples, Ethiopia
197,1986,2.565872046,10,Gambela, Zone 1, Gambela Peoples, Ethiopia
197,1993,2.673070087,9,Gambela, Zone 1, Gambela Peoples, Ethiopia
197,1983,2.828875984,8,Gambela, Zone 1, Gambela Peoples, Ethiopia
197,2016,2.856705804,7,Gambela, Zone 1, Gambela Peoples, Ethiopia
197,2002,2.863763999,6,Gambela, Zone 1, Gambela Peoples, Ethiopia
197,1984,2.883156236,5,Gambela, Zone 1, Gambela Peoples, Ethiopia
197,1995,2.895226026,4,Gambela, Zone 1, Gambela Peoples, Ethiopia
197,2005,2.914627453,3,Gambela, Zone 1, Gambela Peoples, Ethiopia
197,1987,2.967478047,2,Gambela, Zone 1, Gambela Peoples, Ethiopia
197,2010,2.97065403,1,Gambela, Zone 1, Gambela Peoples, Ethiopia
198,1993,1.960799467,10,Itang, Zone 1, Gambela Peoples, Ethiopia
198,1986,2.102254428,9,Itang, Zone 1, Gambela Peoples, Ethiopia
198,2009,2.267374626,8,Itang, Zone 1, Gambela Peoples, Ethiopia
198,1983,2.343369424,7,Itang, Zone 1, Gambela Peoples, Ethiopia
198,2002,2.351538747,6,Itang, Zone 1, Gambela Peoples, Ethiopia
198,2005,2.373594242,5,Itang, Zone 1, Gambela Peoples, Ethiopia
198,1987,2.386896367,4,Itang, Zone 1, Gambela Peoples, Ethiopia
198,2016,2.3935444,3,Itang, Zone 1, Gambela Peoples, Ethiopia
198,1984,2.405514824,2,Itang, Zone 1, Gambela Peoples, Ethiopia
198,2000,2.425474207,1,Itang, Zone 1, Gambela Peoples, Ethiopia
199,1993,1.744991407,10,Jikawo, Zone 1, Gambela Peoples, Ethiopia
199,2009,1.957824241,9,Jikawo, Zone 1, Gambela Peoples, Ethiopia
199,1986,2.028896058,8,Jikawo, Zone 1, Gambela Peoples, Ethiopia
199,1987,2.110166723,7,Jikawo, Zone 1, Gambela Peoples, Ethiopia
199,2005,2.125648902,6,Jikawo, Zone 1, Gambela Peoples, Ethiopia
199,2002,2.137209388,5,Jikawo, Zone 1, Gambela Peoples, Ethiopia
199,1984,2.140153409,4,Jikawo, Zone 1, Gambela Peoples, Ethiopia
199,2000,2.161437702,3,Jikawo, Zone 1, Gambela Peoples, Ethiopia
199,2010,2.184698645,2,Jikawo, Zone 1, Gambela Peoples, Ethiopia
199,1983,2.18846355,1,Jikawo, Zone 1, Gambela Peoples, Ethiopia
200,1993,2.697278757,10,Abobo, Zone 2, Gambela Peoples, Ethiopia
200,1986,2.737819953,9,Abobo, Zone 2, Gambela Peoples, Ethiopia
200,1984,2.852970317,8,Abobo, Zone 2, Gambela Peoples, Ethiopia
200,2016,2.853655259,7,Abobo, Zone 2, Gambela Peoples, Ethiopia
200,2002,2.961625648,6,Abobo, Zone 2, Gambela Peoples, Ethiopia
200,1983,2.979995752,5,Abobo, Zone 2, Gambela Peoples, Ethiopia
200,1995,3.099725259,4,Abobo, Zone 2, Gambela Peoples, Ethiopia
200,2009,3.101512397,3,Abobo, Zone 2, Gambela Peoples, Ethiopia
200,2000,3.104248923,2,Abobo, Zone 2, Gambela Peoples, Ethiopia
200,1987,3.111074156,1,Abobo, Zone 2, Gambela Peoples, Ethiopia
201,2000,3.141948452,10,Dima, Zone 2, Gambela Peoples, Ethiopia
201,2009,3.323873535,9,Dima, Zone 2, Gambela Peoples, Ethiopia
201,1993,3.338230801,8,Dima, Zone 2, Gambela Peoples, Ethiopia
201,2016,3.34398125,7,Dima, Zone 2, Gambela Peoples, Ethiopia
201,1986,3.345524294,6,Dima, Zone 2, Gambela Peoples, Ethiopia
201,1981,3.386461813,5,Dima, Zone 2, Gambela Peoples, Ethiopia
201,2002,3.408677002,4,Dima, Zone 2, Gambela Peoples, Ethiopia
201,1984,3.53723678,3,Dima, Zone 2, Gambela Peoples, Ethiopia
201,1997,3.572453791,2,Dima, Zone 2, Gambela Peoples, Ethiopia
201,1999,3.625809255,1,Dima, Zone 2, Gambela Peoples, Ethiopia
202,2000,3.644297622,10,Godere, Zone 2, Gambela Peoples, Ethiopia
202,1986,3.753009188,9,Godere, Zone 2, Gambela Peoples, Ethiopia
202,2016,3.765168127,8,Godere, Zone 2, Gambela Peoples, Ethiopia
202,1981,3.769113578,7,Godere, Zone 2, Gambela Peoples, Ethiopia
202,1993,3.790564871,6,Godere, Zone 2, Gambela Peoples, Ethiopia
202,2002,3.796677324,5,Godere, Zone 2, Gambela Peoples, Ethiopia
202,1984,3.8968628,4,Godere, Zone 2, Gambela Peoples, Ethiopia
202,2009,3.92658873,3,Godere, Zone 2, Gambela Peoples, Ethiopia
202,1999,3.942809352,2,Godere, Zone 2, Gambela Peoples, Ethiopia
202,1987,3.974864993,1,Godere, Zone 2, Gambela Peoples, Ethiopia
203,1993,2.525819859,10,Gog, Zone 2, Gambela Peoples, Ethiopia
203,1984,2.665354835,9,Gog, Zone 2, Gambela Peoples, Ethiopia
203,2016,2.839879237,8,Gog, Zone 2, Gambela Peoples, Ethiopia
203,2002,2.87284302,7,Gog, Zone 2, Gambela Peoples, Ethiopia
203,2009,2.878770667,6,Gog, Zone 2, Gambela Peoples, Ethiopia
203,2000,2.881124308,5,Gog, Zone 2, Gambela Peoples, Ethiopia
203,1986,2.934217712,4,Gog, Zone 2, Gambela Peoples, Ethiopia
203,1987,3.009940824,3,Gog, Zone 2, Gambela Peoples, Ethiopia
203,1983,3.116716299,2,Gog, Zone 2, Gambela Peoples, Ethiopia
203,1995,3.135349122,1,Gog, Zone 2, Gambela Peoples, Ethiopia
204,1993,1.888984698,10,Jor, Zone 2, Gambela Peoples, Ethiopia
204,2009,2.057649174,9,Jor, Zone 2, Gambela Peoples, Ethiopia
204,1984,2.163688995,8,Jor, Zone 2, Gambela Peoples, Ethiopia
204,1986,2.204411887,7,Jor, Zone 2, Gambela Peoples, Ethiopia
204,1987,2.253712587,6,Jor, Zone 2, Gambela Peoples, Ethiopia
204,2002,2.270838356,5,Jor, Zone 2, Gambela Peoples, Ethiopia
204,2016,2.321078885,4,Jor, Zone 2, Gambela Peoples, Ethiopia
204,2000,2.357214049,3,Jor, Zone 2, Gambela Peoples, Ethiopia
204,1983,2.412215427,2,Jor, Zone 2, Gambela Peoples, Ethiopia
204,1982,2.427276616,1,Jor, Zone 2, Gambela Peoples, Ethiopia
205,2015,1.462826883,10,Harar/Hundene, Hundene, Harari People, Ethiopia
205,1984,1.729303546,9,Harar/Hundene, Hundene, Harari People, Ethiopia
205,2000,1.839119234,8,Harar/Hundene, Hundene, Harari People, Ethiopia
205,1990,1.854238024,7,Harar/Hundene, Hundene, Harari People, Ethiopia
205,2017,1.901989144,6,Harar/Hundene, Hundene, Harari People, Ethiopia
205,2002,1.927134147,5,Harar/Hundene, Hundene, Harari People, Ethiopia
205,2004,1.93506995,4,Harar/Hundene, Hundene, Harari People, Ethiopia
205,1991,1.953744424,3,Harar/Hundene, Hundene, Harari People, Ethiopia
205,2009,1.963808748,2,Harar/Hundene, Hundene, Harari People, Ethiopia
205,2008,2.032997318,1,Harar/Hundene, Hundene, Harari People, Ethiopia
206,2002,1.899973678,10,Amigna, Arsi, Oromia, Ethiopia
206,2009,1.936413732,9,Amigna, Arsi, Oromia, Ethiopia
206,2015,1.970082398,8,Amigna, Arsi, Oromia, Ethiopia
206,2014,2.193182295,7,Amigna, Arsi, Oromia, Ethiopia
206,2004,2.225242674,6,Amigna, Arsi, Oromia, Ethiopia
206,1987,2.24726774,5,Amigna, Arsi, Oromia, Ethiopia
206,1990,2.278821904,4,Amigna, Arsi, Oromia, Ethiopia
206,2012,2.28417528,3,Amigna, Arsi, Oromia, Ethiopia
206,2000,2.309587402,2,Amigna, Arsi, Oromia, Ethiopia
206,2017,2.347606172,1,Amigna, Arsi, Oromia, Ethiopia
207,2015,1.866695717,10,Aseko, Arsi, Oromia, Ethiopia
207,2002,1.874040586,9,Aseko, Arsi, Oromia, Ethiopia
207,1984,2.146096942,8,Aseko, Arsi, Oromia, Ethiopia
207,2014,2.244699036,7,Aseko, Arsi, Oromia, Ethiopia
207,1986,2.277974726,6,Aseko, Arsi, Oromia, Ethiopia
207,1987,2.366695826,5,Aseko, Arsi, Oromia, Ethiopia
207,2009,2.372033276,4,Aseko, Arsi, Oromia, Ethiopia
207,2000,2.412877985,3,Aseko, Arsi, Oromia, Ethiopia
207,2003,2.431466658,2,Aseko, Arsi, Oromia, Ethiopia
207,2004,2.443631023,1,Aseko, Arsi, Oromia, Ethiopia
208,2009,2.190802159,10,Bekoji, Arsi, Oromia, Ethiopia
208,2002,2.220069885,9,Bekoji, Arsi, Oromia, Ethiopia
208,2015,2.230552627,8,Bekoji, Arsi, Oromia, Ethiopia
208,2014,2.415272567,7,Bekoji, Arsi, Oromia, Ethiopia
208,2012,2.438269721,6,Bekoji, Arsi, Oromia, Ethiopia
208,1984,2.446260964,5,Bekoji, Arsi, Oromia, Ethiopia
208,2004,2.504693421,4,Bekoji, Arsi, Oromia, Ethiopia
208,1989,2.513180441,3,Bekoji, Arsi, Oromia, Ethiopia
208,2000,2.531737198,2,Bekoji, Arsi, Oromia, Ethiopia
208,1990,2.551275562,1,Bekoji, Arsi, Oromia, Ethiopia
209,2002,2.02281019,10,Chole, Arsi, Oromia, Ethiopia
209,2015,2.073548693,9,Chole, Arsi, Oromia, Ethiopia
209,2009,2.329158176,8,Chole, Arsi, Oromia, Ethiopia
209,2014,2.330159931,7,Chole, Arsi, Oromia, Ethiopia
209,1987,2.35976555,6,Chole, Arsi, Oromia, Ethiopia
209,2004,2.4963003,5,Chole, Arsi, Oromia, Ethiopia
209,2000,2.516579973,4,Chole, Arsi, Oromia, Ethiopia
209,1991,2.57142637,3,Chole, Arsi, Oromia, Ethiopia
209,2012,2.599268395,2,Chole, Arsi, Oromia, Ethiopia
209,1990,2.630009709,1,Chole, Arsi, Oromia, Ethiopia
210,2015,2.15656782,10,Degeluna Tijo, Arsi, Oromia, Ethiopia
210,2002,2.269323581,9,Degeluna Tijo, Arsi, Oromia, Ethiopia
210,2009,2.47199717,8,Degeluna Tijo, Arsi, Oromia, Ethiopia
210,1987,2.556167156,7,Degeluna Tijo, Arsi, Oromia, Ethiopia
210,1991,2.590925074,6,Degeluna Tijo, Arsi, Oromia, Ethiopia
210,2014,2.59559364,5,Degeluna Tijo, Arsi, Oromia, Ethiopia
210,1985,2.625402017,4,Degeluna Tijo, Arsi, Oromia, Ethiopia
210,2012,2.661255995,3,Degeluna Tijo, Arsi, Oromia, Ethiopia
210,1999,2.700049186,2,Degeluna Tijo, Arsi, Oromia, Ethiopia
210,2000,2.744303114,1,Degeluna Tijo, Arsi, Oromia, Ethiopia
211,2015,1.47164793,10,Dodotana Sire, Arsi, Oromia, Ethiopia
211,2002,1.65206448,9,Dodotana Sire, Arsi, Oromia, Ethiopia
211,1984,1.779717195,8,Dodotana Sire, Arsi, Oromia, Ethiopia
211,2014,1.840190207,7,Dodotana Sire, Arsi, Oromia, Ethiopia
211,1991,1.926336192,6,Dodotana Sire, Arsi, Oromia, Ethiopia
211,1987,2.008846276,5,Dodotana Sire, Arsi, Oromia, Ethiopia
211,1986,2.011291219,4,Dodotana Sire, Arsi, Oromia, Ethiopia
211,2009,2.058051332,3,Dodotana Sire, Arsi, Oromia, Ethiopia
211,2012,2.092119856,2,Dodotana Sire, Arsi, Oromia, Ethiopia
211,2018,2.098111312,1,Dodotana Sire, Arsi, Oromia, Ethiopia
212,1984,2.096477766,10,Gedeb, Arsi, Oromia, Ethiopia
212,2009,2.147914296,9,Gedeb, Arsi, Oromia, Ethiopia
212,2002,2.176891791,8,Gedeb, Arsi, Oromia, Ethiopia
212,2015,2.268578982,7,Gedeb, Arsi, Oromia, Ethiopia
212,2004,2.285249883,6,Gedeb, Arsi, Oromia, Ethiopia
212,2012,2.298544513,5,Gedeb, Arsi, Oromia, Ethiopia
212,2014,2.311765706,4,Gedeb, Arsi, Oromia, Ethiopia
212,1995,2.337802062,3,Gedeb, Arsi, Oromia, Ethiopia
212,2008,2.340195021,2,Gedeb, Arsi, Oromia, Ethiopia
212,1991,2.350234392,1,Gedeb, Arsi, Oromia, Ethiopia
213,2002,1.822858218,10,Gololcha, Arsi, Oromia, Ethiopia
213,2015,1.859511769,9,Gololcha, Arsi, Oromia, Ethiopia
213,2009,2.061338317,8,Gololcha, Arsi, Oromia, Ethiopia
213,2014,2.158501116,7,Gololcha, Arsi, Oromia, Ethiopia
213,1987,2.26316324,6,Gololcha, Arsi, Oromia, Ethiopia
213,2004,2.27109191,5,Gololcha, Arsi, Oromia, Ethiopia
213,2000,2.296624983,4,Gololcha, Arsi, Oromia, Ethiopia
213,2003,2.318906191,3,Gololcha, Arsi, Oromia, Ethiopia
213,1984,2.349108836,2,Gololcha, Arsi, Oromia, Ethiopia
213,2012,2.362375061,1,Gololcha, Arsi, Oromia, Ethiopia
214,2015,1.777817789,10,Hitosa, Arsi, Oromia, Ethiopia
214,2002,1.924514082,9,Hitosa, Arsi, Oromia, Ethiopia
214,1991,2.23754178,8,Hitosa, Arsi, Oromia, Ethiopia
214,1985,2.249275324,7,Hitosa, Arsi, Oromia, Ethiopia
214,1987,2.250112498,6,Hitosa, Arsi, Oromia, Ethiopia
214,2014,2.274033582,5,Hitosa, Arsi, Oromia, Ethiopia
214,2009,2.334078077,4,Hitosa, Arsi, Oromia, Ethiopia
214,1984,2.374849253,3,Hitosa, Arsi, Oromia, Ethiopia
214,2012,2.386381096,2,Hitosa, Arsi, Oromia, Ethiopia
214,2011,2.49131287,1,Hitosa, Arsi, Oromia, Ethiopia
215,2015,1.65190533,10,Jeju, Arsi, Oromia, Ethiopia
215,2002,1.768458615,9,Jeju, Arsi, Oromia, Ethiopia
215,1984,1.987074976,8,Jeju, Arsi, Oromia, Ethiopia
215,2014,2.049966743,7,Jeju, Arsi, Oromia, Ethiopia
215,1991,2.181696063,6,Jeju, Arsi, Oromia, Ethiopia
215,1986,2.231085789,5,Jeju, Arsi, Oromia, Ethiopia
215,1987,2.231261206,4,Jeju, Arsi, Oromia, Ethiopia
215,2009,2.236482668,3,Jeju, Arsi, Oromia, Ethiopia
215,2012,2.27081297,2,Jeju, Arsi, Oromia, Ethiopia
215,2018,2.302585321,1,Jeju, Arsi, Oromia, Ethiopia
216,1984,2.216551833,10,Kofele, Arsi, Oromia, Ethiopia
216,2009,2.359175792,9,Kofele, Arsi, Oromia, Ethiopia
216,1991,2.488829145,8,Kofele, Arsi, Oromia, Ethiopia
216,2012,2.508385102,7,Kofele, Arsi, Oromia, Ethiopia
216,1985,2.638244142,6,Kofele, Arsi, Oromia, Ethiopia
216,2002,2.638503671,5,Kofele, Arsi, Oromia, Ethiopia
216,2015,2.702995466,4,Kofele, Arsi, Oromia, Ethiopia
216,1981,2.714511174,3,Kofele, Arsi, Oromia, Ethiopia
216,2013,2.718260014,2,Kofele, Arsi, Oromia, Ethiopia
216,1994,2.741371827,1,Kofele, Arsi, Oromia, Ethiopia
217,2015,1.640493057,10,Merti, Arsi, Oromia, Ethiopia
217,2002,1.660778704,9,Merti, Arsi, Oromia, Ethiopia
217,1984,1.831711497,8,Merti, Arsi, Oromia, Ethiopia
217,2014,1.929620573,7,Merti, Arsi, Oromia, Ethiopia
217,1986,2.06335233,6,Merti, Arsi, Oromia, Ethiopia
217,1987,2.166542595,5,Merti, Arsi, Oromia, Ethiopia
217,2000,2.194754283,4,Merti, Arsi, Oromia, Ethiopia
217,2018,2.202087072,3,Merti, Arsi, Oromia, Ethiopia
217,2016,2.216948878,2,Merti, Arsi, Oromia, Ethiopia
217,2009,2.223188428,1,Merti, Arsi, Oromia, Ethiopia
218,2009,2.416358747,10,Munessa, Arsi, Oromia, Ethiopia
218,2015,2.464448882,9,Munessa, Arsi, Oromia, Ethiopia
218,1991,2.474072461,8,Munessa, Arsi, Oromia, Ethiopia
218,2002,2.488775451,7,Munessa, Arsi, Oromia, Ethiopia
218,1984,2.492545733,6,Munessa, Arsi, Oromia, Ethiopia
218,1995,2.598361866,5,Munessa, Arsi, Oromia, Ethiopia
218,2012,2.61483624,4,Munessa, Arsi, Oromia, Ethiopia
218,1985,2.634255726,3,Munessa, Arsi, Oromia, Ethiopia
218,2014,2.638595551,2,Munessa, Arsi, Oromia, Ethiopia
218,1987,2.723677678,1,Munessa, Arsi, Oromia, Ethiopia
219,2015,2.034076483,10,Robe, Arsi, Oromia, Ethiopia
219,2009,2.040429858,9,Robe, Arsi, Oromia, Ethiopia
219,2002,2.089431097,8,Robe, Arsi, Oromia, Ethiopia
219,1987,2.27890696,7,Robe, Arsi, Oromia, Ethiopia
219,1991,2.314512328,6,Robe, Arsi, Oromia, Ethiopia
219,2014,2.343107919,5,Robe, Arsi, Oromia, Ethiopia
219,2012,2.364707993,4,Robe, Arsi, Oromia, Ethiopia
219,1985,2.37856566,3,Robe, Arsi, Oromia, Ethiopia
219,2004,2.406909231,2,Robe, Arsi, Oromia, Ethiopia
219,1990,2.448928208,1,Robe, Arsi, Oromia, Ethiopia
220,2002,1.867680806,10,Seru, Arsi, Oromia, Ethiopia
220,2009,1.890593912,9,Seru, Arsi, Oromia, Ethiopia
220,2015,1.929342565,8,Seru, Arsi, Oromia, Ethiopia
220,2014,2.089500847,7,Seru, Arsi, Oromia, Ethiopia
220,1990,2.131648367,6,Seru, Arsi, Oromia, Ethiopia
220,2004,2.189589945,5,Seru, Arsi, Oromia, Ethiopia
220,2000,2.243944265,4,Seru, Arsi, Oromia, Ethiopia
220,2017,2.250054377,3,Seru, Arsi, Oromia, Ethiopia
220,1987,2.259301551,2,Seru, Arsi, Oromia, Ethiopia
220,1991,2.275102425,1,Seru, Arsi, Oromia, Ethiopia
221,2015,1.972042845,10,Shirka, Arsi, Oromia, Ethiopia
221,2009,2.057916352,9,Shirka, Arsi, Oromia, Ethiopia
221,2002,2.116492071,8,Shirka, Arsi, Oromia, Ethiopia
221,2014,2.336868433,7,Shirka, Arsi, Oromia, Ethiopia
221,1987,2.342581717,6,Shirka, Arsi, Oromia, Ethiopia
221,2012,2.368468504,5,Shirka, Arsi, Oromia, Ethiopia
221,1985,2.380026794,4,Shirka, Arsi, Oromia, Ethiopia
221,1989,2.383333108,3,Shirka, Arsi, Oromia, Ethiopia
221,1991,2.400001145,2,Shirka, Arsi, Oromia, Ethiopia
221,2008,2.40057594,1,Shirka, Arsi, Oromia, Ethiopia
222,2015,2.067434553,10,Sude, Arsi, Oromia, Ethiopia
222,2002,2.074398719,9,Sude, Arsi, Oromia, Ethiopia
222,2009,2.270026177,8,Sude, Arsi, Oromia, Ethiopia
222,1987,2.31363305,7,Sude, Arsi, Oromia, Ethiopia
222,1991,2.418736842,6,Sude, Arsi, Oromia, Ethiopia
222,2014,2.420993974,5,Sude, Arsi, Oromia, Ethiopia
222,2004,2.486094864,4,Sude, Arsi, Oromia, Ethiopia
222,2012,2.521570483,3,Sude, Arsi, Oromia, Ethiopia
222,2000,2.545586117,2,Sude, Arsi, Oromia, Ethiopia
222,1990,2.609811086,1,Sude, Arsi, Oromia, Ethiopia
223,2015,2.017468887,10,Tena, Arsi, Oromia, Ethiopia
223,2002,2.13587343,9,Tena, Arsi, Oromia, Ethiopia
223,2009,2.360990691,8,Tena, Arsi, Oromia, Ethiopia
223,1987,2.374150749,7,Tena, Arsi, Oromia, Ethiopia
223,1991,2.462164186,6,Tena, Arsi, Oromia, Ethiopia
223,1985,2.49063758,5,Tena, Arsi, Oromia, Ethiopia
223,2012,2.535298683,4,Tena, Arsi, Oromia, Ethiopia
223,2014,2.549080206,3,Tena, Arsi, Oromia, Ethiopia
223,2004,2.658472866,2,Tena, Arsi, Oromia, Ethiopia
223,1984,2.666397434,1,Tena, Arsi, Oromia, Ethiopia
