state,district,year,score,rank
Niger,Minna,2023,28,1
Niger,Minna,2021,27,2
Niger,Minna,2019,15,3
Niger,Minna,2015,14,4
Niger,Minna,2016,10,5
Niger,Minna,2012,9,6
Niger,Minna,2003,9,7
Niger,Minna,1998,9,8
Niger,Mokwa,2023,19,1
Niger,Mokwa,2016,12,2
Niger,Mokwa,2019,11,3
Niger,Mokwa,1998,10,4
Niger,Mokwa,1995,8,5
Niger,Mokwa,2018,7,6
Niger,Mokwa,2006,7,7
Niger,Mokwa,1990,7,8
