state,district,year,rank
Niger,Minna,2023,1
Niger,Minna,2021,2
Niger,Minna,2019,3
Niger,Minna,2015,4
Niger,Minna,2016,5
Niger,Minna,2012,6
Niger,Minna,2003,7
Niger,Minna,1998,8
Niger,Mokwa,2023,1
Niger,Mokwa,2016,2
Niger,Mokwa,2019,3
Niger,Mokwa,1998,4
Niger,Mokwa,1995,5
Niger,Mokwa,2018,6
Niger,Mokwa,2006,7
Niger,Mokwa,1990,8
